QuestID	QuestName	Objective	Description	DunningDialogue	UnfinishedDialogue	FinishedDialogue	Class	CanShare	CanRepeat	CanAssist	NeedAccept	Difficulty	QuestLevel	RequiredLevel	StartMapID	StartNpcTemplateID	StartDoodadTemplateID	StartItemType	StartItemIndex	StartGossipType	StartGossip1	StartGossip2	StartGossip3	StartGossip4	MinLevel	MaxLevel	MinMoral	MaxMoral	RequireGender	RequireRoleType	CooldownID	PrequestLogic	PrequestID1	PrequestID2	PrequestID3	PrequestID4	SubsequenceID	ForceIndex	StartTime	EndTime	RequireSkillID	MinSkillLevel	RequireLifeSkillID	MinLifeSkillLevel	StartForceIndex1	StartForceValue1	StartForceIndex2	StartForceValue2	StartForceIndex3	StartForceValue3	StartForceIndex4	StartForceValue4	StartRequireItemType1	StartRequireItemIndex1	StartRequireItemAmount1	StartRequireItemType2	StartRequireItemIndex2	StartRequireItemAmount2	StartRequireItemType3	StartRequireItemIndex3	StartRequireItemAmount3	StartRequireItemType4	StartRequireItemIndex4	StartRequireItemAmount4	OfferItemType1	OfferItemIndex1	OfferItemAmount1	OfferItemType2	OfferItemIndex2	OfferItemAmount2	OfferItemType3	OfferItemIndex3	OfferItemAmount3	OfferItemType4	OfferItemIndex4	OfferItemAmount4	EndMapID	EndNpcTemplateID	EndDoodadTemplateID	EndItemType	EndItemIndex	FinishTime	EndGossipType	EndGossip1	EndGossip2	EndGossip3	EndGossip4	EndRequireItemType1	EndRequireItemIndex1	EndRequireItemAmount1	IsDeleteEndRequireItem1	DropNpcTemplateID1	DropDoodadTemplateID1	DropItemRate1	IsDropForEach1	EndRequireItemType2	EndRequireItemIndex2	EndRequireItemAmount2	IsDeleteEndRequireItem2	DropNpcTemplateID2	DropDoodadTemplateID2	DropItemRate2	IsDropForEach2	EndRequireItemType3	EndRequireItemIndex3	EndRequireItemAmount3	IsDeleteEndRequireItem3	DropNpcTemplateID3	DropDoodadTemplateID3	DropItemRate3	IsDropForEach3	EndRequireItemType4	EndRequireItemIndex4	EndRequireItemAmount4	IsDeleteEndRequireItem4	DropNpcTemplateID4	DropDoodadTemplateID4	DropItemRate4	IsDropForEach4	KillNpcTemplateID1	KillNpcAmount1	KillNpcTemplateID2	KillNpcAmount2	KillNpcTemplateID3	KillNpcAmount3	KillNpcTemplateID4	KillNpcAmount4	QuestValue1	QuestValueStr1	QuestValue2	QuestValueStr2	QuestValue3	QuestValueStr3	QuestValue4	QuestValueStr4	QuestValue5	QuestValueStr5	QuestValue6	QuestValueStr6	QuestValue7	QuestValueStr7	QuestValue8	QuestValueStr8	EndForceIndex1	EndValue1	EndForceIndex2	EndValue2	EndForceIndex3	EndValue3	EndForceIndex4	EndValue4	RelationDoodadID1	RelationDoodadID2	RelationDoodadID3	RelationDoodadID4	HidePresent	PresentAll1	PresentAll2	PresentItemType1	PresentItemIndex1	PresentItemAmount1	PresentItemType2	PresentItemIndex2	PresentItemAmount2	PresentItemType3	PresentItemIndex3	PresentItemAmount3	PresentItemType4	PresentItemIndex4	PresentItemAmount4	PresentItemType5	PresentItemIndex5	PresentItemAmount5	PresentItemType6	PresentItemIndex6	PresentItemAmount6	PresentItemType7	PresentItemIndex7	PresentItemAmount7	PresentItemType8	PresentItemIndex8	PresentItemAmount8	PresentExp	PresentMoney	PresentMoral	AffectForceIndex1	AffectValue1	AffectForceIndex2	AffectValue2	AffectForceIndex3	AffectValue3	AffectForceIndex4	AffectValue4	AffectSkillID	Proficiency	RepeatCutPercent	PresentAssistIntimacy	PresentAssistMoral	PresentAssistExp	ScriptName	_Cat	_Type	_AreaQuest
10	出力	王大石希望与你喝酒，但需要下酒菜猪肉，于是让你去村外西方的稻山野林杀八只野猪回来。	兄弟，总之你回来就太好了。你还记得以前俺们一起说要做大侠吗？现在机会可就来了。\n<H28>你还记得俺们以前经常去<F173 西边的野林>打<F172 野猪>吗？就照老样子杀几个<F172 野猪>来搞下酒菜，今天俺要和兄弟好好喝一回。	俺知道你刚回来也很累了，不过现在也顾不得那么多。怎么了？你真的有这么累吗？怎么出去个两三年人就虚了，连几头野猪也搞不回来了。	俺知道你刚回来也很累了，不过现在也顾不得那么多。怎么了？你真的有这么累吗？怎么出去个两三年人就虚了，连几头野猪也搞不回来了。	好兄弟！待我把酒拿来。今天俺们不醉无归！	稻香村					主线	1		1	23									1					3			9				11																																								1	23																																										4	8																																																														300																		稻香村	123	
11	搬运	去村里找一捆刀、一捆矛、一捆棍运回来给民兵队长王大石。	唉，瞧俺这记性，李先生一再吩咐，偏偏俺看到你一高兴就全忘了。\n<H28>你代俺去找<F173 刘武师>，他那还有不少武器。\n<H28><F174 王大石挠挠头>\n说起来李先生对俺村比俺自己都熟悉，真奇怪。\n<H28>哦，差点忘了你不认识<F173 刘武师>，他就住在<F173 村东南小山坡>刘村长家旁边。记得是<F171 刀枪棍>三种，别拿错了。	快去快回，我还等着跟你喝酒呢。哈哈！	快去快回，我还等着跟你喝酒呢。哈哈！	武器来了？这下就好了！来来来，我们可以喝酒了。	稻香村					主线	2		1	23									1					3			10				12																																								1	23										5	403	1			6			5	404	1			7			5	405	1			8																																																																										100																		稻香村	123	
12	烈酒	把王大石给你的酒一口干了。	来！拿着，这对城里人来说虽然不是什么好酒，但就是味儿够烈，听说外面的大侠们都是喝这个。\n<H28><F174 王大石拿出几瓶酒>\n<H28>这玩意儿叫二锅头，是王富那小子从外面带来的，我这就这几瓶了，把这碗酒干了，从今往后，咱们和山贼誓不两立！\n<H28><F173 王大石一口把酒干了，又打开一瓶>\n<H28>来来，不要停！是爷们儿就一口干了！等下就去跟董大虫拼刀子。哈哈，爽快！	磨磨蹭蹭的，是不是大老爷们儿？	磨磨蹭蹭的，是不是大老爷们儿？	好兄弟！把酒干了，等下就去跟董大虫拼刀子。\n<H28>兄弟你千万别说俺醉了，俺怎么会喝两口就醉了呢？以前听说书的说张飞张三哥裸衣大战马超，哈哈，那个爽快！来来来，说话也不要停了喝酒。	稻香村					主线	2		1	23									1					3			11																																5	302	2										1	23																																																																															1		7	156	1																						150																		稻香村	123	
13	同伴	找春兰旁边的徐嫂询问新到村子孤儿的情况。	小懒猫，你怎么现在才起床？都什么时候了，亏你还能睡这么晚。\n<H28>你不是一直嚷嚷没人陪你玩吗？昨晚你睡觉的时候来了一些和你差不多年纪的流浪儿，听说是从五里村逃难过来，这下你有伴儿了。不过他们可真是苦命的人儿啊，听说他们的五里村一夜之间就被毁了，逃出来的就这几个小孩子。\n<H28>你说我骗你？谁骗你了，你不相信可以自己问<F173 徐嫂>去。	快去啊，你不是一直嚷嚷没人陪你玩吗。		流浪儿？哦，你是说五里村逃难来的小孩是吗？是啊，昨晚来的，他们真是可怜，一晚停也没停跑了四十多里路，好些小孩的脚被荆棘划得伤痕累累。听说被山贼给洗劫了，村子都给一把火给烧了，留下来的活口就他们几个了，小孩子这么小就没了爹娘，真可怜！\n<H28>对了，你见过我家东山没有？	稻香村	1				主线	1		1	37									1					6							14																																								1	35																																																																																																									100																		稻香村	123	
14	伤童	去问问毛毛怎么样了，他就在在村子大榕树旁边空地那儿。	听春兰说这几天山贼的下一个目标可能就是我们村了，如今村里的男丁都去参加王大石组织的民兵队了。现在村子周围都不安全，偏偏我家的东山出去玩到现在还没回来，真把我急都给急死了。你这两天也不要出村子去玩了，别让老村长他担心了，我看他这几天都快老了十多岁。\n<H28>你有空就去看看那些从五里村逃来的<F173 小孩>吧，小小年纪就开始流浪，怪可怜的。唉，大家都说现下是什么太平盛世，怎么满天下的贼没有人管呢？	对了，你见过我家东山没有？		毛毛不哭……爸爸让毛毛躲起来……毛毛就躲起来……爸爸流了好多血……毛毛是好孩子……毛毛不哭……	稻香村					主线	1		1	35									1					6			13				15																																								1	32																																																																																																									100																		稻香村	123	
15	丢失的包裹	帮毛毛找回他逃难时掉了的东西，包括在村外西面的稻山野林掉的包裹、被刘武师捡了的木剑以及被刘春兰捡了的布娃娃。	小姐姐你能帮我个忙吗？来的时候好匆忙，我把我的<F171 绿包裹>弄丢了，可能就丢在<F173 稻山野林>离村庄不远的地方；\n<H28><F174 毛毛想了想>\n<H28>还有，爸爸帮我做的<F171 木剑>我也搞丢了，但好像被你们村<F173 光头叔叔>捡了，他家好像住在<F173 背后的山坡>上；\n<H28><F174 毛毛想了想>\n<H28>还有，姥姥帮我做的一个<F171 布娃娃>好像被一个漂亮姐姐给捡了，大家好像都叫她<F173 春兰>姐姐。\n<H28><<F174 毛毛想了想>\n<H28>还有……嗯，嗯……还有……好像没有了。\n<H28>呜呜呜，小姐姐怎么办啊。一定要帮我找回来啊。	还没找到吗？如果你找不到光头叔叔和春兰姐姐你可以问一下民兵叔叔，他们好像什么都知道的样子。	还没找到吗？如果你找不到光头叔叔和春兰姐姐你可以问一下民兵叔叔，他们好像什么都知道的样子。	谢谢小姐姐，你真是个大好人啊！我看看包裹里有什么能给你的。	稻香村					主线	2		1	32									1					6			14				16																																								1	32										5	406	1			9			5	429	1						5	430	1																																																			1		7	156	1																						280																		稻香村	123	
16	抢草帽的人	找在村南路口的民兵队长王大石取回毛毛的帽子。	小姐姐还能帮我个忙吗？刚才有个大哥哥送我一个<F171 草帽>，但他才刚走就被一个凶巴巴的男人抢走了，还说要我叫他什么<F173 大石哥>，说什么要为我爸爸妈妈报仇，但我爸爸妈妈说要接我回去的，爸爸妈妈是不会骗我的，我要等他们来接我……\n<H28>小姐姐你人这么好，能帮我问刚刚拿走我草帽的叔叔把<F173 草帽>拿回来吗？我真的好喜欢那个帽子，而且刚刚那叔叔好凶，他不会是什么坏人吧，姐姐你也要小心点哦。	呜呜呜，我真的好喜欢那个帽子哦。		帽子？是啊，是我拿的。我天天站在这风吹雨打的，拿顶草帽算什么，再说我还要帮那小屁孩报仇呢？拿顶帽子也不过分啊！\n<H28>什么你说我不应该欺负小屁孩，还说我不应该把五里村的真相告诉他？呔，我说的是事实嘛，董大虫一把火就把他们村烧个干净了，据说送他们出来的几个大人最后都没能活着回村，哼，爷们儿我不跟你这女娃子一样的见识。	稻香村					主线	2		1	32									1					6			15				17																																								1	23																																																																																																									120																		稻香村	123	
17	另一个草帽	你没有办法，只得拿这王大石给你的头巾回去向毛毛道歉，看来是取不回他的帽子了。	什么？要我还<F171 草帽>！可是……刚才已经被我不小心弄坏了。\n<H28><F174 王大石有些不好意思>\n<H28>那，那……你看我这里有条<F171 头巾>，这可是我找王富新买的，你拿去赔给他好了，这些可比草帽值钱多了。	不行不行，不管怎么说，这个帽子我要定了，哈哈。		不嘛不嘛，我就要我的帽子。这什么臭头巾，还有股臭味儿，小姐姐你欺负人，以后再不理你了，哼。	稻香村					主线	2		1	23									1					6			16																																5	428	1										1	32										5	428	1																																																																																													120																		稻香村	123	
18	习武	民兵队长王大石建议大家先去找住在村里大树边上的刘武师学习一下最简单的防身之技。刘武师就住在村里大树西南面，沿着路往里走，在比较靠里的地方。	事到如今，我想村子现在是个什么状况大家也都清楚了。李先生说了，那个什么兴亡，什么有责。从现在开始，为了对付山贼，全村上下，无论男女老幼，大家都要出力。\n<H28>现在山贼就驻扎在对面南边香山的小山坡上，五里村已经被他们毁了，我作为这村子的民兵队长自然义不哪个啥。\n<H28>这样吧，大家去找<F173 刘武师>，刘武师以前在外面可是个会家伙的镖师，村里要数他武功最好了，大家先去学一点防身之术，早晚有用得着的时候。	<C>，还不快去找刘武师？他就住在村西北空地，就在大榕树北面一点。		我就是刘大海，找我什么事？什么？你说你要习武？你说是王大石叫你来的？\n<H28><F174 你听到刘武师小声嘀咕了几句>\n<H28>王大石那小子怎么知道我武功，还做过镖师？一定是那个李复看破的，我看他步法沉稳，功夫不在我之下，这种人怎么会在我们村子出现？不会是冲着我来的吧。\n<H28>这个王大石，真是个莽夫，什么人都送过来让我教，还以为真能凭这点功夫就能对付山贼？	稻香村	1				主线	2		1	23									2												21																																								1	38																																																																																																									150																		稻香村	123	
21	打坐	刘武师让你自己打坐，慢慢感受一下体内的真气。	现在我要教你们的是学习武功最难而且是最漫长的部分，那就是内功。只有内功深厚的人才能修行高超的武功，如果没有内功作为基础，练习各种武功，特别是招式是没有实际意义的。 \n<H28>现在我就教你如何打坐，以及如何调整内息的办法。你留心听着：内功之传，脉胳甚真。不知脉络，勉强用之，则无益而有损；前任后督，气行滚滚，井池双穴，发劲循循，千变万化，不离乎本……\n<H28><F172 你认真地把刘武师说的一长串都默记下来>\n<H28>没记清楚可以再问我。有点我要提醒你，修炼内功切忌无章无序，阴阳混用，修炼前一定要想清楚。	对于你来说是不是难了点？好，我再说一遍，你可记好了。内功之传，脉胳甚真。不知脉络，勉强用之，则无益而有损；前任后督，气行滚滚，井池双穴，发劲循循，千变万化，不离乎本……\n<H28>怎么样？你来做做看。	对于你来说是不是难了点？好，我再说一遍，你可记好了。内功之传，脉胳甚真。不知脉络，勉强用之，则无益而有损；前任后督，气行滚滚，井池双穴，发劲循循，千变万化，不离乎本……\n<H28>怎么样？你来做做看。	嗯，看来你的悟性也不错，是块好材料。不过学习内功不在于一朝一夕，需要日日苦练，切记不可半途而废。这有几把武器你挑来用吧，遇上带武器的贼子也好拿来招架一下。	稻香村					主线	3		1	38									3								18																																												1	38																																																		1	尝试打坐																																																						340																	Scripts\Map\中原稻香村\quest\任务_打坐.lua	稻香村	123	
22	轻功	刘武师让你自己练习一下轻功，看看能不能跳到他屋前的房檐上面去。	不错不错，看不出你还是个习武的好料子，这么快就能感觉到丹田的位置，我当年可是用了三个月才找到丹田。\n<H28>最后要教你我的绝学，这个你可要好好听着，学好了这个不敢说天下第一，但至少天下第一打不死你，这就是——轻功。\n<H28>十多年前<F173 西湖藏剑山庄>的<F173 无双剑叶炜>在扬州露了一手轻功，真叫我开了眼界，只见他身形一闪，水上就多了一道影子，转眼人就已经站在桥对面了。\n<H28>简单来说，轻功就是一门纵跳的功夫，首先要懂得运用丹田之气，所以学习轻功首先是学习运气之道。\n<H28>你自己下去练习，如果能跳上我身边的<F173 屋檐>，我就把我在闯荡江湖时剩下的好东西都送给他。	轻功的要点在于心静，在跳跃的霎那把握好时间，你再试试。	轻功的要点在于心静，在跳跃的霎那把握好时间，你再试试。	你真的跳上去了？学得真快，我已经没什么东西能教你了，这有些暗器和一个护手，你选择一个拿去用吧，剩下的我拿去给别人。	稻香村					主线	3		1	38									3								21				23																																								1	38																																																		1	跳上高台																																																						340																	Scripts\Map\中原稻香村\quest\任务_轻功.lua	稻香村	123	
23	李公子	刘武师让你找村南路口茶铺附近的李复问问他有什么新的良策没有。	能教你的都教你了，怎么说你也不是我的徒弟，我也不方便教你太多，更何况我也不是什么良师。山外有山，我看前几天来的那个<F173 李复>就是个深藏不露的人。\n<H28>你不妨去<F173 李复>那儿看看，接下来的事就交给他了，你们可要老老实实听他的吩咐。说起这个李复那可不简单，懂的东西多着呢，来了没几天大家都把他当主心骨了，有了他一定能把山贼打回老家去。哈哈哈。	现在村子全靠他了，希望他能有办法……		<F174 李复正在一张纸上写写算算，直到你叫了好几声他才注意到你。>	稻香村					主线	4		1	38									2								22				24																																								1	25																																																																																																									340																		稻香村	123	
