ID	Desc	Persist	Group	Level	Category	Category1	Category2	Category3	Capability	Stack	ErrProc	Precond	SpecialStack	Sync	Save	Delay	Plus	Send	Death	Offline	DelayAdd	Icon	ReplaceRes	OnceRes	HeadRes	BodyRes	BottomRes	OnlySoundRes	SoundRes	ie1	ie2	ie3	ie4	ie5	pe1	pe2	pe3	pe4	pe5
20	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>驭风</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>转换近战物理伤害为风属性，在使用开山或倾城时可获得风斩效果，最多叠加3次</Obj></Seg></Layout>	-1	4	1					-1	0			0	1	0	0	1	0	1			yufeng	-1												13	16			
21	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>驭风</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>转换近战物理伤害为风属性，在使用开山或倾城时可获得风斩效果，最多叠加4次</Obj></Seg></Layout>	-1	4	2					-1	0			0	1	0	0	1	0	1			yufeng	-1												14	16			
22	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>驭风</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>转换近战物理伤害为风属性，在使用开山或倾城时可获得风斩效果，最多叠加5次</Obj></Seg></Layout>	-1	4	3					-1	0			0	1	0	0	1	0	1			yufeng	-1												15	16			
23	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>风斩</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>提高攻击速度10%，最多叠加3次</Obj></Seg></Layout>	3	5	1	1				-1	3			0	1	0	0	1	0	1			fengzhan	-1							22									
24	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>风斩</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>提高攻击速度10%，最多叠加4次</Obj></Seg></Layout>	3	5	2	1				-1	4			0	1	0	0	1	0	1			fengzhan	-1							22									
25	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>风斩</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>提高攻击速度10%，最多叠加5次</Obj></Seg></Layout>	3	5	3	1				-1	5			0	1	0	0	1	0	1			fengzhan	-1							22									
26	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>揽风神行</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>提高移动速度20%</Obj></Seg></Layout>	10	6	1	1				-1	0			0	1	0	0	1	0	1			lanfengshenxing	-1							23									
27	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>揽风神行</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>提高移动速度30%</Obj></Seg></Layout>	10	6	2	1				-1	0			0	1	0	0	1	0	1			lanfengshenxing	-1							24									
28	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>揽风神行</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>提高移动速度40%</Obj></Seg></Layout>	10	6	3	1				-1	0			0	1	0	0	1	0	1			lanfengshenxing	-1							25									
29	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>锋矢</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加物理攻击上限6%</Obj></Seg></Layout>	600	7	1	1				-1	0			0	1	0	0	1	1	1			fengshi	-1	3						26									
30	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>锋矢</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加物理攻击上限12%</Obj></Seg></Layout>	600	7	5	1				-1	0			0	1	0	0	1	1	1			fengshi	-1	3						27									
31	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>锋矢</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加物理攻击上限18%</Obj></Seg></Layout>	600	7	9	1				-1	0			0	1	0	0	1	1	1			fengshi	-1	3						28									
32	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>锋矢</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加物理攻击上限24%</Obj></Seg></Layout>	600	7	13	1				-1	0			0	1	0	0	1	1	1			fengshi	-1	3						29									
33	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>锋矢</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加物理攻击上限30%</Obj></Seg></Layout>	600	7	17	1				-1	0			0	1	0	0	1	1	1			fengshi	-1	3						30									
34	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>冲轭</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加咒法上限6%</Obj></Seg></Layout>	600	8	1	1				-1	0			0	1	0	0	1	1	1			chonge	-1	4						31									
35	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>冲轭</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加咒法上限12%</Obj></Seg></Layout>	600	8	5	1				-1	0			0	1	0	0	1	1	1			chonge	-1	4						32									
36	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>冲轭</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加咒法上限18%</Obj></Seg></Layout>	600	8	9	1				-1	0			0	1	0	0	1	1	1			chonge	-1	4						33									
37	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>冲轭</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加咒法上限24%</Obj></Seg></Layout>	600	8	13	1				-1	0			0	1	0	0	1	1	1			chonge	-1	4						34									
38	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>冲轭</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加咒法上限30%</Obj></Seg></Layout>	600	8	17	1				-1	0			0	1	0	0	1	1	1			chonge	-1	4						35									
39	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>彤云阵</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>向队友释放彤云，不可被驱散</Obj></Seg></Layout>	-1	9	1					-1	0			0	1	0	0	1	0	1			tongyunzhen	-1				10			36									
40	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>彤云阵</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>向队友释放彤云，不可被驱散</Obj></Seg></Layout>	-1	9	2					-1	0			0	1	0	0	1	0	1			tongyunzhen	-1				10			37									
41	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>彤云阵</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>向队友释放彤云，不可被驱散</Obj></Seg></Layout>	-1	9	3					-1	0			0	1	0	0	1	0	1			tongyunzhen	-1				10			38									
42	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>彤云阵</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>向队友释放彤云，不可被驱散</Obj></Seg></Layout>	-1	9	4					-1	0			0	1	0	0	1	0	1			tongyunzhen	-1				10			39									
43	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>彤云</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加生命上限20%</Obj></Seg></Layout>	6	10	1					-1	1		SameTeam()	0	1	0	0	0	0	1			tongyun	-1							40									
44	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>彤云</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加生命上限25%</Obj></Seg></Layout>	6	10	2					-1	1		SameTeam()	0	1	0	0	0	0	1			tongyun	-1							41									
45	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>彤云</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加生命上限30%</Obj></Seg></Layout>	6	10	3					-1	1		SameTeam()	0	1	0	0	0	0	1			tongyun	-1							42									
46	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>彤云</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加生命上限35%</Obj></Seg></Layout>	6	10	4					-1	1		SameTeam()	0	1	0	0	0	0	1			tongyun	-1							43									
47	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>金甲神兵</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加护甲20点</Obj></Seg></Layout>	900	11	1	1				-1	0			0	1	0	0	1	0	1			jinjiashenbing	-1							44									
48	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>金甲神兵</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加护甲30点</Obj></Seg></Layout>	900	11	2	1				-1	0			0	1	0	0	1	0	1			jinjiashenbing	-1							45									
49	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>金甲神兵</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加护甲40点</Obj></Seg></Layout>	900	11	3	1				-1	0			0	1	0	0	1	0	1			jinjiashenbing	-1							46									
50	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>金甲神兵</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加护甲50点</Obj></Seg></Layout>	900	11	4	1				-1	0			0	1	0	0	1	0	1			jinjiashenbing	-1							47									
51	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>仙家护体</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加八卦和玄冥抗性20点</Obj></Seg></Layout>	900	12	1	1				-1	0			0	1	0	0	1	0	1			xianjiahuti	-1							48	52								
52	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>仙家护体</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加八卦和玄冥抗性30点</Obj></Seg></Layout>	900	12	2	1				-1	0			0	1	0	0	1	0	1			xianjiahuti	-1							49	53								
53	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>仙家护体</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加八卦和玄冥抗性40点</Obj></Seg></Layout>	900	12	3	1				-1	0			0	1	0	0	1	0	1			xianjiahuti	-1							50	54								
54	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>仙家护体</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加八卦和玄冥抗性50点</Obj></Seg></Layout>	900	12	4	1				-1	0			0	1	0	0	1	0	1			xianjiahuti	-1							51	55								
55	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>不堕轮回</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>死亡后可复活，回复10%的生命和法力</Obj></Seg></Layout>	1800	13	1	1				-1	0			0	1	0	0	1	0	1			buduolunhui	-1	5											17				
56	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>不堕轮回</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>死亡后可复活，回复50%的生命和法力</Obj></Seg></Layout>	1800	13	2	1				-1	0			0	1	0	0	1	0	1			buduolunhui	-1	5											18				
57	你要接受复活吗?	1	14	1					-1	0			0	1	0	2	0	1	0		120		-1							56	57	59							
58	你要接受复活吗?	1	14	2					-1	0			0	1	0	2	0	1	0		120		-1							56	58	60							
59	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	15	1					-1	0			0	1	0	0	0	0	1				-1	6						61									
60	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>君临天下</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加生命上限1000点，同时回复生命1000点，增加物理攻击25点，降低移动速度80%，不可被驱散</Obj></Seg></Layout>	30	16	1					-1	0			0	1	0	0	1	0	1			junlintianxia	-1							62	66	70	74						
61	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>君临天下</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加生命上限1000点，同时回复生命1000点，增加物理攻击50点，降低移动速度70%，不可被驱散</Obj></Seg></Layout>	30	16	2					-1	0			0	1	0	0	1	0	1			junlintianxia	-1							63	67	71	75						
62	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>君临天下</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加生命上限1000点，同时回复生命1000点，增加物理攻击75点，降低移动速度60%，不可被驱散</Obj></Seg></Layout>	30	16	3					-1	0			0	1	0	0	1	0	1			junlintianxia	-1							64	68	72	76						
63	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>君临天下</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>增加生命上限1000点，同时回复生命1000点，增加物理攻击100点，降低移动速度50%，不可被驱散</Obj></Seg></Layout>	30	16	4					-1	0			0	1	0	0	1	0	1			junlintianxia	-1							65	69	73	77						
64	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>血浪三叠</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>下一次血浪三叠爆击伤害为250%</Obj></Seg></Layout>	5	17	1	1				-1	0			0	1	0	0	1	0	1			xuelangsandie	-1												19				
65	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>血浪三叠</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>下一次血浪三叠爆击伤害为300%</Obj></Seg></Layout>	5	17	2	1				-1	0			0	1	0	0	1	0	1			xuelangsandie	-1												20				
66	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>烈影枪</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>受到近战物理伤害时15%几率激发烈影枪</Obj></Seg></Layout>	-1	18	1	1				-1	0			0	1	0	0	1	0	1			lieyingqiang	-1												21				
67	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>烈影枪</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>受到近战物理伤害时15%几率激发烈影枪</Obj></Seg></Layout>	-1	18	1	1				-1	0			0	1	0	0	1	0	1			lieyingqiang	-1												22				
68	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>烈影枪</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>受到近战物理伤害时15%几率激发烈影枪</Obj></Seg></Layout>	-1	18	1	1				-1	0			0	1	0	0	1	0	1			lieyingqiang	-1												23				
69	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>烈影枪</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>受到近战物理伤害时15%几率激发烈影枪</Obj></Seg></Layout>	-1	18	1	1				-1	0			0	1	0	0	1	0	1			lieyingqiang	-1												24				
70	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text>烈影枪</Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8>受到近战物理伤害时15%几率激发烈影枪</Obj></Seg></Layout>	-1	18	1	1				-1	0			0	1	0	0	1	0	1			lieyingqiang	-1												25				
71	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	19	1					-1	0			0	1	0	0	0	0	1				-1							78									
72	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	19	2					-1	0			0	1	0	0	0	0	1				-1							79									
73	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	19	3					-1	0			0	1	0	0	0	0	1				-1							80									
74	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	19	4					-1	0			0	1	0	0	0	0	1				-1							81									
75	<Layout margin-top=5 margin-left=5 margin-right=5 margin-bottom=5 width=150><Seg text-align=left><Obj type=text> </Obj></Seg><Seg text-align=right float=wrap><Obj type=text> </Obj></Seg><Seg text-align=left><Obj type=text color=247,207,8></Obj></Seg></Layout>	1	19	5					-1	0			0	1	0	0	0	0	1				-1							82									
