SkillName	Property	SkillId	Attrib	SkillStyle	SkillIcon	PreCastSpr	ManCastSnd	FMCastSnd	StateSpecialId	LRSkill	DelType	IsAura	NeedShadow	AttackRadius	MaxShadowNum	MslsGenerate	MslsGenerateData	MisslesForm	MissleMoveKind	MissleSpeed	MissleLifeTime	MissleHeight	ChildSkillId	ChildSkillLevel	ChildSkillNum	BaseSkill	CharAnimId	EventSkillLevel	IsMelee	WaitTime	ClientSend	SkillCostType	CostValue	TimePerCast	IsPhysical	AttackTargetType	ByMissle	IsUseAR	StartEvent	StartSkillId	FlyEvent	FlySkillId	FlyEventTime	CollideEvent	CollidSkillId	VanishedEvent	VanishedSkillId	ReqLevel	MaxLevel	EqtLimit	HorseLimit	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	AddBaseDamage	SkillType	InitialStatus	SkillSeries	DamageType	DamageTargetType	DamageVal	NpcPercent	SkillDesc	SkillLevel	IncorBuffId	IncorBAvailRating	IncorBTarget	CorBuffId	CorBAvailRating	CorBTarget	Group	Category	Category1	Category2	Category3	Barrier	AddCriProb	CriDamage	MostAffNum	CastSpeed	DoHurt	ToolTipsView	ReqView	DescView	SummonNpcId	TrapId	AddToListInit	IsTalismanSkill	IsSwitchSkill	CostItem	Threat	CommonCoolDown	LevelUpBuffId	CostSkillExp	TargetFilterInfo	InvokeHideSkillId
强身	兽使	61			qiangshen																																												50															3	61						1																				被动，每级增加1点力			1		2				3			
苦思		62			kusi																																												50															3	62						1																				被动，每级增加1点灵			1		2				3			
机敏		63			jimin																																												40															3	63						1																				被动，每级增加5点闪避			1		2				3			
明悟		64			mingwu																																												30															3	64						1																				被动，每级增加1点术			1		2				3			
坚韧		65			jianren																																												30															3	65						1																				被动，每级增加1点体			1		2				3			
强身	羿使	66			qiangshen																																												50															3	66						1																				被动，每级增加1点力			1		2				3			
灵巧		67			lingqiao																																												40															3	67						1																				被动，每级增加5点命中			1		2				3			
苦思		68			kusi																																												30															3	68						1																				被动，每级增加1点灵			1		2				3			
坚韧		69			jianren																																												20															3	69						1																				被动，每级增加1点体			1		2				3			
洞察		70			dongcha																																												10															3	70						1																				被动，每级增加1%物理爆击率			1		2				3			
开山		71		0	kaishan									160				2	1	0	4	10	3		1	1	3					0	1		1	81		1											10			1											-1	3	71	1	0	8	100		1							4	1	1			8		200		0				对单体敌对目标造成8点近程物理伤害，受100%攻击加成			1						3			
开山		72		0	kaishan									160				2	1	0	4	10	3		1	1	3					0	2		1	81		1											10			1											-1	3	71	1	0	12	100		2							4	1	1			8		200		0				对单体敌对目标造成12点近程物理伤害，受100%攻击加成			1						3			
开山		73		0	kaishan									160				2	1	0	4	10	3		1	1	3					0	3		1	81		1											10			1											-1	3	71	1	0	16	100		3							4	1	1			8		200		0				对单体敌对目标造成16点近程物理伤害，受100%攻击加成			1						3			
开山		74		0	kaishan									160				2	1	0	4	10	3		1	1	3					0	4		1	81		1											10			1											-1	3	71	1	0	20	100		4							4	1	1			8		200		0				对单体敌对目标造成20点近程物理伤害，受100%攻击加成			1						3			
开山		75		0	kaishan									160				2	1	0	4	10	3		1	1	3					0	5		1	81		1											10			1											-1	3	71	1	0	24	100		5							4	1	1			8		200		0				对单体敌对目标造成24点近程物理伤害，受100%攻击加成			1						3			
开山		76		0	kaishan									160				2	1	0	4	10	3		1	1	3					0	6		1	81		1											10			1											-1	3	71	1	0	28	100		6							4	1	1			8		200		0				对单体敌对目标造成28点近程物理伤害，受100%攻击加成			1						3			
开山		77		0	kaishan									160				2	1	0	4	10	3		1	1	3					0	7		1	81		1											10			1											-1	3	71	1	0	32	100		7							4	1	1			8		200		0				对单体敌对目标造成32点近程物理伤害，受100%攻击加成			1						3			
开山		78		0	kaishan									160				2	1	0	4	10	3		1	1	3					0	8		1	81		1											10			1											-1	3	71	1	0	36	100		8							4	1	1			8		200		0				对单体敌对目标造成36点近程物理伤害，受100%攻击加成			1						3			
开山		79		0	kaishan									160				2	1	0	4	10	3		1	1	3					0	9		1	81		1											10			1											-1	3	71	1	0	40	100		9							4	1	1			8		200		0				对单体敌对目标造成40点近程物理伤害，受100%攻击加成			1						3			
开山		80		0	kaishan									160				2	1	0	4	10	3		1	1	3					0	10		1	81		1											10			1											-1	3	71	1	0	44	100		10							4	1	1			8		200		0				对单体敌对目标造成44点近程物理伤害，受100%攻击加成			1						3			
倾城		91		0	qingcheng									170				2	1	0	4	10	4		1	1	3					0	3	6000	1	81		1											6			1											-1	3	91	1	0	20	200		1							5	1	1			8		200		0				对单体敌对目标造成20点近程物理伤害，受200%攻击加成			1				60		3			
倾城		92		0	qingcheng									170				2	1	0	4	10	4		1	1	3					0	6	6000	1	81		1											6			1											-1	3	91	1	0	50	200		2							5	1	1			8		200		0				对单体敌对目标造成50点近程物理伤害，受200%攻击加成			1				120		3			
倾城		93		0	qingcheng									170				2	1	0	4	10	4		1	1	3					0	9	6000	1	81		1											6			1											-1	3	91	1	0	80	200		3							5	1	1			8		200		0				对单体敌对目标造成80点近程物理伤害，受200%攻击加成			1				180		3			
倾城		94		0	qingcheng									170				2	1	0	4	10	4		1	1	3					0	12	6000	1	81		1											6			1											-1	3	91	1	0	110	200		4							5	1	1			8		200		0				对单体敌对目标造成110点近程物理伤害，受200%攻击加成			1				240		3			
倾城		95		0	qingcheng									170				2	1	0	4	10	4		1	1	3					0	15	6000	1	81		1											6			1											-1	3	91	1	0	140	200		5							5	1	1			8		200		0				对单体敌对目标造成140点近程物理伤害，受200%攻击加成			1				300		3			
倾城		96		0	qingcheng									170				2	1	0	4	10	4		1	1	3					0	18	6000	1	81		1											6			1											-1	3	91	1	0	170	200		6							5	1	1			8		200		0				对单体敌对目标造成170点近程物理伤害，受200%攻击加成			1				360		3			
妙手回春		101		0	miaoshouhuichun									800													3					0	10	2000	0	163		0											6			1											1	3	101						1	9	100	2				6		1			8				0				为单体友好目标回复生命，每2秒10点，持续20秒，每次回复受20%咒法加成			1						3			
妙手回春		102		0	miaoshouhuichun									800													3					0	20	2000	0	163		0											6			1											1	3	101						2	10	100	2				6		1			8				0				为单体友好目标回复生命，每2秒20点，持续20秒，每次回复受20%咒法加成			1						3			
妙手回春		103		0	miaoshouhuichun									800													3					0	30	2000	0	163		0											6			1											1	3	101						3	11	100	2				6		1			8				0				为单体友好目标回复生命，每2秒30点，持续20秒，每次回复受20%咒法加成			1						3			
妙手回春		104		0	miaoshouhuichun									800													3					0	40	2000	0	163		0											6			1											1	3	101						4	12	100	2				6		1			8				0				为单体友好目标回复生命，每2秒40点，持续20秒，每次回复受20%咒法加成			1						3			
妙手回春		105		0	miaoshouhuichun									800													3					0	50	2000	0	163		0											6			1											1	3	101						5	13	100	2				6		1			8				0				为单体友好目标回复生命，每2秒50点，持续20秒，每次回复受20%咒法加成			1						3			
妙手回春		106		0	miaoshouhuichun									800													3					0	60	2000	0	163		0											6			1											1	3	101						6	14	100	2				6		1			8				0				为单体友好目标回复生命，每2秒60点，持续20秒，每次回复受20%咒法加成			1						3			
慈悲杀戒		111		0	cibeishajie									800													3					0	30	6000	0	163		0											4			1											1	3	111	8	0	-100	-100		1	15	100	2				8	1	1			8		200		0				为单体友好目标一次性回复生命100点，并对目标周围6尺范围内的敌对目标造成100点无属性伤害，回复和伤害都受100%咒法加成			1						3			
慈悲杀戒		112		0	cibeishajie									800													3					0	50	6000	0	163		0											4			1											1	3	111	8	0	-200	-100		2	16	100	2				8	1	1			8		200		0				为单体友好目标一次性回复生命200点，并对目标周围6尺范围内的敌对目标造成200点无属性伤害，回复和伤害都受100%咒法加成			1						3			
慈悲杀戒		113		0	cibeishajie									800													3					0	70	6000	0	163		0											4			1											1	3	111	8	0	-300	-100		3	17	100	2				8	1	1			8		200		0				为单体友好目标一次性回复生命300点，并对目标周围6尺范围内的敌对目标造成300点无属性伤害，回复和伤害都受100%咒法加成			1						3			
慈悲杀戒		114		0	cibeishajie									800													3					0	90	6000	0	163		0											4			1											1	3	111	8	0	-400	-100		4	18	100	2				8	1	1			8		200		0				为单体友好目标一次性回复生命400点，并对目标周围6尺范围内的敌对目标造成400点无属性伤害，回复和伤害都受100%咒法加成			1						3			
无人之境		121		0	wurenzhijing	\spr\skill\xuanfeng\wurenzhijing.spr								0													3					0	100	120000	0	3		0											1			1											0	3	121						1	19	100	1				10		1			8				0				使自己在10秒内不受任何伤害和效果			1						3			
驭风		131		0	yufeng	\spr\skill\xuanfeng\yufeng.spr								0													3					0	20	1000	0	3		0											3			1											0	3	131						1	20	100	1				11		1			8				0				使自己获得驭风效果，转化所有伤害为风属性，驭风效果下使用开山或倾城附加风斩效果，提高攻击速度10%，风斩持续3秒，最多叠加3次			1						3			
驭风		132		0	yufeng	\spr\skill\xuanfeng\yufeng.spr								0													3					0	20	1000	0	3		0											3			1											0	3	131						2	21	100	1				11		1			8				0				使自己获得驭风效果，转化所有伤害为风属性，驭风效果下使用开山或倾城附加风斩效果，提高攻击速度10%，风斩持续3秒，最多叠加4次			1						3			
驭风		133		0	yufeng	\spr\skill\xuanfeng\yufeng.spr								0													3					0	20	1000	0	3		0											3			1											0	3	131						3	22	100	1				11		1			8				0				使自己获得驭风效果，转化所有伤害为风属性，驭风效果下使用开山或倾城附加风斩效果，提高攻击速度10%，风斩持续3秒，最多叠加5次			1						3			
揽风神行		141		0	lanfengshenxing	\spr\skill\xuanfeng\lanfengshenxing.spr								0													3					0	30	30000	0	3		0											3			1											0	3	141						1	26	100	1				12		1			8				1000				提高自己的移动速度20%，持续10秒			1						3			
揽风神行		142		0	lanfengshenxing	\spr\skill\xuanfeng\lanfengshenxing.spr								0													3					0	30	30000	0	3		0											3			1											0	3	141						2	27	100	1				12		1			8				1000				提高自己的移动速度30%，持续10秒			1						3			
揽风神行		143		0	lanfengshenxing	\spr\skill\xuanfeng\lanfengshenxing.spr								0													3					0	30	30000	0	3		0											3			1											0	3	141						3	28	100	1				12		1			8				1000				提高自己的移动速度40%，持续10秒			1						3			
锋矢		151		0	fengshi									800													3					0	50	3000	0	163		0											5			1											1	3	151						1	29	100	2				13		1			8				0				增加单体友好目标的物理攻击上限6%，持续10分钟			1						3			
锋矢		152		0	fengshi									800													3					0	100	3000	0	163		0											5			1											1	3	151						2	30	100	2				13		1			8				0				增加单体友好目标的物理攻击上限12%，持续10分钟			1						3			
锋矢		153		0	fengshi									800													3					0	150	3000	0	163		0											5			1											1	3	151						3	31	100	2				13		1			8				0				增加单体友好目标的物理攻击上限18%，持续10分钟			1						3			
锋矢		154		0	fengshi									800													3					0	200	3000	0	163		0											5			1											1	3	151						4	32	100	2				13		1			8				0				增加单体友好目标的物理攻击上限24%，持续10分钟			1						3			
锋矢		155		0	fengshi									800													3					0	250	3000	0	163		0											5			1											1	3	151						5	33	100	2				13		1			8				0				增加单体友好目标的物理攻击上限30%，持续10分钟			1						3			
冲轭		161		0	chonge									800													3					0	50	3000	0	163		0											5			1											1	3	161						1	34	100	2				14		1			8				0				增加单体友好目标的咒法上限6%，持续10分钟			1						3			
冲轭		162		0	chonge									800													3					0	100	3000	0	163		0											5			1											1	3	161						2	35	100	2				14		1			8				0				增加单体友好目标的咒法上限12%，持续10分钟			1						3			
冲轭		163		0	chonge									800													3					0	150	3000	0	163		0											5			1											1	3	161						3	36	100	2				14		1			8				0				增加单体友好目标的咒法上限18%，持续10分钟			1						3			
冲轭		164		0	chonge									800													3					0	200	3000	0	163		0											5			1											1	3	161						4	37	100	2				14		1			8				0				增加单体友好目标的咒法上限24%，持续10分钟			1						3			
冲轭		165		0	chonge									800													3					0	250	3000	0	163		0											5			1											1	3	161						5	38	100	2				14		1			8				0				增加单体友好目标的咒法上限30%，持续10分钟			1						3			
彤云阵		171		0	tongyunzhen									0													3					0	100	3000	0	3		0											4			1											0	3	171						1	39	100	1				15		1			8				0				在自己周围10尺范围内布下彤云阵，不可被驱散，每隔5秒释放一次彤云效果，增加队友的生命上限20%，每次消耗5点法力			1						3			
彤云阵		172		0	tongyunzhen									0													3					0	150	3000	0	3		0											4			1											0	3	171						2	40	100	1				15		1			8				0				在自己周围10尺范围内布下彤云阵，不可被驱散，每隔5秒释放一次彤云效果，增加队友的生命上限25%，每次消耗8点法力			1						3			
彤云阵		173		0	tongyunzhen									0													3					0	200	3000	0	3		0											4			1											0	3	171						3	41	100	1				15		1			8				0				在自己周围10尺范围内布下彤云阵，不可被驱散，每隔5秒释放一次彤云效果，增加队友的生命上限30%，每次消耗11点法力			1						3			
彤云阵		174		0	tongyunzhen									0													3					0	250	3000	0	3		0											4			1											0	3	171						4	42	100	1				15		1			8				0				在自己周围10尺范围内布下彤云阵，不可被驱散，每隔5秒释放一次彤云效果，增加队友的生命上限35%，每次消耗14点法力			1						3			
金甲神兵		181		0	jinjiashenbing	\spr\skill\xuanfeng\jinjiashenbing.spr								0													3					0	20	60000	0	3		0											4			1											0	3	181						1	47	100	1				17		1			8				0				增加自己的护甲20点，持续15分钟，需要消耗1张兵符			1			3,429,0,0,1			3			
金甲神兵		182		0	jinjiashenbing	\spr\skill\xuanfeng\jinjiashenbing.spr								0													3					0	30	60000	0	3		0											4			1											0	3	181						2	48	100	1				17		1			8				0				增加自己的护甲30点，持续15分钟，需要消耗1张兵符			1			3,429,0,0,1			3			
金甲神兵		183		0	jinjiashenbing	\spr\skill\xuanfeng\jinjiashenbing.spr								0													3					0	40	60000	0	3		0											4			1											0	3	181						3	49	100	1				17		1			8				0				增加自己的护甲40点，持续15分钟，需要消耗1张兵符			1			3,429,0,0,1			3			
金甲神兵		184		0	jinjiashenbing	\spr\skill\xuanfeng\jinjiashenbing.spr								0													3					0	50	60000	0	3		0											4			1											0	3	181						4	50	100	1				17		1			8				0				增加自己的护甲50点，持续15分钟，需要消耗1张兵符			1			3,429,0,0,1			3			
仙家护体		191		0	xianjiahuti	\spr\skill\xuanfeng\xianjiahuti.spr								0													3					0	20	60000	0	3		0											4			1											0	3	191						1	51	100	1				18		1			8				0				增加自己的八卦和玄冥抗性20点，持续15分钟，需要消耗1张兵符			1			3,429,0,0,1			3			
仙家护体		192		0	xianjiahuti	\spr\skill\xuanfeng\xianjiahuti.spr								0													3					0	30	60000	0	3		0											4			1											0	3	191						2	52	100	1				18		1			8				0				增加自己的八卦和玄冥抗性30点，持续15分钟，需要消耗1张兵符			1			3,429,0,0,1			3			
仙家护体		193		0	xianjiahuti	\spr\skill\xuanfeng\xianjiahuti.spr								0													3					0	40	60000	0	3		0											4			1											0	3	191						3	53	100	1				18		1			8				0				增加自己的八卦和玄冥抗性40点，持续15分钟，需要消耗1张兵符			1			3,429,0,0,1			3			
仙家护体		194		0	xianjiahuti	\spr\skill\xuanfeng\xianjiahuti.spr								0													3					0	50	60000	0	3		0											4			1											0	3	191						4	54	100	1				18		1			8				0				增加自己的八卦和玄冥抗性50点，持续15分钟，需要消耗1张兵符			1			3,429,0,0,1			3			
不堕轮回		201		0	buduolunhui									800													3					0	100	1800000	0	131		0											2			1											1	3	201						1	55	100	2				19		1			8				0				为单体友好目标附加不堕轮回效果，使其在死亡后可以复活，并回复10%的生命和法力，有效时间30分钟，需要消耗1张兵符			1			3,429,0,0,1			3			
不堕轮回		202		0	buduolunhui									800													3					0	500	1800000	0	131		0											2			1											1	3	201						2	56	100	2				19		1			8				0				为单体友好目标附加不堕轮回效果，使其在死亡后可以复活，并回复50%的生命和法力，有效时间30分钟，需要消耗1张兵符			1			3,429,0,0,1			3			
驱邪		211		0	quxie									800													3					0	200	2000	0	163		0											1			1											1	3	211						1	59	100	2				20		1			8				0				为单体友好目标驱除所有负面效果，需要消耗1张兵符			1			3,429,0,0,1			3			
君临天下		221		0	junlintianxia	\spr\skill\xuanfeng\junlintianxia.spr								0													3							300000	0	3		0											4			1											0	3	221						1	60	100	1				21		1			8				0				为自己附加君临天下效果，增加生命上限1000点，同时回复生命1000点，增加物理攻击25点，降低移动速度80%，不可被驱散，持续30秒，需要消耗1张兵符			1			3,429,0,0,1			3			
君临天下		222		0	junlintianxia	\spr\skill\xuanfeng\junlintianxia.spr								0													3							300000	0	3		0											4			1											0	3	221						2	61	100	1				21		1			8				0				为自己附加君临天下效果，增加生命上限1000点，同时回复生命1000点，增加物理攻击50点，降低移动速度70%，不可被驱散，持续30秒，需要消耗1张兵符			1			3,429,0,0,1			3			
君临天下		223		0	junlintianxia	\spr\skill\xuanfeng\junlintianxia.spr								0													3							300000	0	3		0											4			1											0	3	221						3	62	100	1				21		1			8				0				为自己附加君临天下效果，增加生命上限1000点，同时回复生命1000点，增加物理攻击75点，降低移动速度60%，不可被驱散，持续30秒，需要消耗1张兵符			1			3,429,0,0,1			3			
君临天下		224		0	junlintianxia	\spr\skill\xuanfeng\junlintianxia.spr								0													3							300000	0	3		0											4			1											0	3	221						4	63	100	1				21		1			8				0				为自己附加君临天下效果，增加生命上限1000点，同时回复生命1000点，增加物理攻击100点，降低移动速度50%，不可被驱散，持续30秒，需要消耗1张兵符			1			3,429,0,0,1			3			
血浪三叠		231		0	xuelangsandie									160				2	1	0	6	10	5		1	1	3					2	1		1	81		1											10			2											-1	3	231	1	0	10	100		1	64	100	1				22	1	2			8		200		0				对单体敌对目标造成10点近程物理伤害，受100%攻击加成，若连续使用血浪三叠，第二次爆击伤害为250%，第三次爆击伤害为300%			1						3			
血浪三叠		232		0	xuelangsandie									160				2	1	0	6	10	5		1	1	3					2	3		1	81		1											10			2											-1	3	231	1	0	13	100		2	64	100	1				22	1	2			8		200		0				对单体敌对目标造成13点近程物理伤害，受100%攻击加成，若连续使用血浪三叠，第二次爆击伤害为250%，第三次爆击伤害为300%			1						3			
血浪三叠		233		0	xuelangsandie									160				2	1	0	6	10	5		1	1	3					2	5		1	81		1											10			2											-1	3	231	1	0	16	100		3	64	100	1				22	1	2			8		200		0				对单体敌对目标造成16点近程物理伤害，受100%攻击加成，若连续使用血浪三叠，第二次爆击伤害为250%，第三次爆击伤害为300%			1						3			
血浪三叠		234		0	xuelangsandie									160				2	1	0	6	10	5		1	1	3					2	7		1	81		1											10			2											-1	3	231	1	0	19	100		4	64	100	1				22	1	2			8		200		0				对单体敌对目标造成19点近程物理伤害，受100%攻击加成，若连续使用血浪三叠，第二次爆击伤害为250%，第三次爆击伤害为300%			1						3			
血浪三叠		235		0	xuelangsandie									160				2	1	0	6	10	5		1	1	3					2	9		1	81		1											10			2											-1	3	231	1	0	22	100		5	64	100	1				22	1	2			8		200		0				对单体敌对目标造成22点近程物理伤害，受100%攻击加成，若连续使用血浪三叠，第二次爆击伤害为250%，第三次爆击伤害为300%			1						3			
血浪三叠		236		0	xuelangsandie									160				2	1	0	6	10	5		1	1	3					2	11		1	81		1											10			2											-1	3	231	1	0	25	100		6	64	100	1				22	1	2			8		200		0				对单体敌对目标造成25点近程物理伤害，受100%攻击加成，若连续使用血浪三叠，第二次爆击伤害为250%，第三次爆击伤害为300%			1						3			
血浪三叠		237		0	xuelangsandie									160				2	1	0	6	10	5		1	1	3					2	13		1	81		1											10			2											-1	3	231	1	0	28	100		7	64	100	1				22	1	2			8		200		0				对单体敌对目标造成28点近程物理伤害，受100%攻击加成，若连续使用血浪三叠，第二次爆击伤害为250%，第三次爆击伤害为300%			1						3			
血浪三叠		238		0	xuelangsandie									160				2	1	0	6	10	5		1	1	3					2	15		1	81		1											10			2											-1	3	231	1	0	31	100		8	64	100	1				22	1	2			8		200		0				对单体敌对目标造成31点近程物理伤害，受100%攻击加成，若连续使用血浪三叠，第二次爆击伤害为250%，第三次爆击伤害为300%			1						3			
血浪三叠		239		0	xuelangsandie									160				2	1	0	6	10	5		1	1	3					2	17		1	81		1											10			2											-1	3	231	1	0	34	100		9	64	100	1				22	1	2			8		200		0				对单体敌对目标造成34点近程物理伤害，受100%攻击加成，若连续使用血浪三叠，第二次爆击伤害为250%，第三次爆击伤害为300%			1						3			
血浪三叠		240		0	xuelangsandie									160				2	1	0	6	10	5		1	1	3					2	19		1	81		1											10			2											-1	3	231	1	0	37	100		10	64	100	1				22	1	2			8		200		0				对单体敌对目标造成37点近程物理伤害，受100%攻击加成，若连续使用血浪三叠，第二次爆击伤害为250%，第三次爆击伤害为300%			1						3			
烈影枪		251		0	lieyingqiang	\spr\skill\xingtian\lieyingqiang1.spr								0													3					0	50	2000	0	3		0											5			2											0	3	251						1	66	100	1				25		2			8				0				为自己附加烈影枪效果，此效果下受到近战物理伤害时15%几率激发烈影枪，对自己周围5尺范围内的敌对目标造成5点近程物理伤害，受100%攻击加成			1						3			
