ID	Name	Class1	Class2	Class3	ShortDesc	Summary	AnnounceLevel	Level	LevelPercent	LevelNumber	Time	TimePercent	TimeNumber	Desire	DesirePercent	DesireNumber	Challenge	ChallengePercent	ChallengeNumber	RoughPoint	Point	RoughFinishPoint	FinishPoint	Exp	Message	Script	TitleID	ShiftID	ShiftType	TriggerVal	TimerName	IsShow	Icon
24	开始采金	江湖行	杂闻	包裹	得到第1个矿石包	——		15	60%	5	1	60%	10	0	80%	5	0	60%	5	16	15	16	15	500									
25	开始庖丁	江湖行	杂闻	包裹	得到第1个皮包	——		15	60%	5	1	60%	10	0	80%	5	0	60%	5	16	15	16	15	500									
26	得一知己	江湖行	杂闻	江湖风云	对好友使用一次演奏	——		10	60%	5	1	60%	10	0	80%	5	0	100%	5	18	20	18	20	500									
27	平易近人	江湖行	杂闻	江湖风云	对朋友使用所有的表情	——		30	60%	5	3	60%	10	1	120%	5	0	100%	5	20	20	20	20	1600									
28	清交素友	江湖行	杂闻	江湖风云	一个好友好感度到生死不离	——		50	80%	5	30	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
29	道义之交	江湖行	杂闻	江湖风云	二个好友好感度到生死不离	——		50	80%	5	30	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
30	人见人爱	江湖行	杂闻	江湖风云	三个好友好感度到生死不离	——		50	80%	5	30	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
31	重情重义	江湖行	杂闻	江湖风云	五个好友好感度到生死不离	——		50	80%	5	30	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
32	胜友如云	江湖行	杂闻	江湖风云	十个好友好感度到生死不离	——		50	80%	5	30	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
33	高朋满座	江湖行	杂闻	江湖风云	十五个好友好感度到生死不离	——		50	80%	5	30	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
34	喝不尽的兄弟酒	江湖行	杂闻	江湖风云	二十个好友好感度到生死不离	——		50	80%	5	30	100%	10	1	120%	5	1	120%	5	26	25	26	25	3700									
35	武学名师	江湖行	武学	武功技能	达成两个门派武功技能成就	——		70	120%	5	160+	200%	15	1	120%	5	1	120%	5	48	50	48	50	11500									
36	学成！龙吟	江湖行	武学	武功技能	天策龙吟练到第八重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			——						
37	学成！战八方	江湖行	武学	武功技能	天策战八方练到第六重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			——						
38	学成！灭	江湖行	武学	武功技能	天策灭到第五重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			——						
39	学成！破风	江湖行	武学	武功技能	天策破风第十重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			——						
40	学成！裂苍穹	江湖行	武学	武功技能	天策裂苍穹练到第五重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
41	学成！突	江湖行	武学	武功技能	天策突练到第六重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
42	学成！啸如虎	江湖行	武学	武功技能	天策啸如虎练到第五重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			称号前缀九命						
43	学成！钟林毓秀	江湖行	武学	武功技能	万花钟林毓秀练到第四重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
44	学成！玉石俱焚	江湖行	武学	武功技能	万花玉石俱焚练到第八重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
45	学成！浮花浪蕊	江湖行	武学	武功技能	万花浮花浪蕊练到第三重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
46	学成！商阳指	江湖行	武学	武功技能	万花商阳指练到第十重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
47	学成！握针	江湖行	武学	武功技能	万花握针练到第九重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
48	学成！锋针	江湖行	武学	武功技能	万花锋针练到第五重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			称号前缀还魂						
49	学成！鹊踏枝	江湖行	武学	武功技能	七秀鹊踏枝练到第五重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
50	学成！剑气长江	江湖行	武学	武功技能	七秀剑气长江练到第九重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
51	学成！繁音急节	江湖行	武学	武功技能	七秀繁音急节练到第四重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
52	学成！心鼓弦	江湖行	武学	武功技能	七秀心鼓弦练到第四重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			称号前缀借命						
53	学成！风袖低昂	江湖行	武学	武功技能	七秀风袖低昂练到第五重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
54	学成！回雪飘摇	江湖行	武学	武功技能	七秀回雪飘摇练到第九重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
55	学成！无相诀	江湖行	武学	武功技能	少林无相诀练到第四重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
56	学成！拿云式	江湖行	武学	武功技能	少林拿云式练到第五重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
57	学成！金刚怒目	江湖行	武学	武功技能	少林金刚怒目练到第五重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
58	学成！轮回诀	江湖行	武学	武功技能	少林轮回诀练到第二重	——		70	120%	5	50	120%	10	1	120%	5	0	100%	5	29	30	29	30	6900			称号前缀不死						
59	学成！灵山施雨	江湖行	武学	武功技能	少林灵山施雨练到第四重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
60	学成！不动明王	江湖行	武学	武功技能	少林不动明王练到第五重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
61	学成！碎星辰	江湖行	武学	武功技能	纯阳碎星辰练到第七重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
62	学成！无我无剑	江湖行	武学	武功技能	纯阳无我无剑练到第八重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
63	学成！人剑合一	江湖行	武学	武功技能	纯阳人剑合一练到第六重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
64	学成！破苍穹	江湖行	武学	武功技能	纯阳破苍穹练到第五重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
65	学成！两仪化形	江湖行	武学	武功技能	纯阳两仪化形练到第七重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
66	学成！四象轮回	江湖行	武学	武功技能	纯阳四象轮回练到第七重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
67	陆地飞腾	江湖行	武学	武功技能	纯阳梯云纵到第六重	——		70	120%	5	50	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800			称号前缀飞云						
68	高手！天策	江湖行	武学	武功技能	天策技能到指定重数	"天策龙吟、战八方、灭、破风、裂苍穹、突、练到指定的重数"		70	120%	5	110	160%	10	1	120%	5	1	140%	5	35	35	35	35	8100			称号前缀铁枪						
69	高手！万花	江湖行	武学	武功技能	万花指定技能到第十重	"碧水滔天、玉石俱焚、钟林玉秀、厥阴指、握针、锋针练到指定的重数"		70	120%	5	110	160%	10	1	120%	5	1	140%	5	35	35	35	35	8100			称号前缀妙笔						
70	高手！七秀	江湖行	武学	武功技能	七秀指定技能到第十重	"鹊踏枝、剑气长江、繁音急节、心鼓弦、风袖低昂、回雪飘摇练到第十重 "		70	120%	5	110	160%	10	1	120%	5	1	140%	5	35	35	35	35	8100			称号前缀双刃						
71	高手！少林	江湖行	武学	武功技能	少林指定技能到第十重	"无相诀、拿云式、金刚怒目、轮回诀、灵山施雨、不动明王练到第十重"		70	120%	5	110	160%	10	1	120%	5	1	140%	5	35	35	35	35	8100			称号前缀铜棍						
72	高手！纯阳	江湖行	武学	武功技能	纯阳指定技能到第十重	"碎星辰、无我无剑、人剑合一、破苍穹、两仪化形、四象轮回、练到指定的重数"		70	120%	5	110	160%	10	1	120%	5	1	140%	5	35	35	35	35	8100			称号前缀快剑						
73	跳很高	江湖行	武学	轻功	扶摇学到指定重数	扶摇学到第四重		40	80%	5	3	60%	10	1	120%	5	0	60%	5	19	20	19	20	2200			称号后缀飞燕						
74	跳更高	江湖行	武学	轻功	扶摇学到最高重	扶摇学到第十一重		70	100%	5	15	100%	10	1	120%	5	0	60%	5	24	25	24	25	5800			称号前缀冲云						
75	凌烟阁顶的风光	江湖行	武学	轻功	跳上指定的建筑	跳上天策的凌烟阁顶		20	60%	5	1	60%	10	1	120%	5	1	100%	5	20	20	20	20	1000									
76	摘星楼顶的景色	江湖行	武学	轻功	跳上指定的建筑	跳上万花的三星望月摘星楼顶		20	60%	5	1	60%	10	1	120%	5	1	100%	5	20	20	20	20	1000									
77	忆盈楼顶的秀丽	江湖行	武学	轻功	跳上指定的建筑	"跳上七秀的忆盈楼顶"		20	60%	5	1	60%	10	1	120%	5	1	100%	5	20	20	20	20	1000									
78	两仪门顶的险峻	江湖行	武学	轻功	跳上指定的建筑	"跳上纯阳两仪门顶"		20	60%	5	1	60%	10	1	120%	5	1	100%	5	20	20	20	20	1000									
79	藏经阁顶的风景	江湖行	武学	轻功	跳上指定的建筑	跳上少林藏经阁顶		20	60%	5	1	60%	10	1	120%	5	1	100%	5	20	20	20	20	1000									
80	李渡城门顶的疮痍	江湖行	武学	轻功	跳上指定的建筑	跳上洛道李渡城门顶		40	80%	5	1	60%	10	1	120%	5	1	120%	5	22	20	22	20	2200									
81	大象头的望远	江湖行	武学	轻功	跳上指定的建筑	跳上巴陵县大象头		50	80%	5	1	60%	10	1	120%	5	1	120%	5	22	20	22	20	3000									
82	七凤楼楼顶的奢靡	江湖行	武学	轻功	跳上指定的建筑	跳上洛阳风雨镇七凤楼楼顶		12	60%	5	1	60%	10	1	120%	5	1	100%	5	20	20	20	20	600									
83	东篱寨塔顶的远方	江湖行	武学	轻功	跳上指定的建筑	跳上扬州东篱寨最高处塔顶		30	60%	5	1	60%	10	1	120%	5	1	100%	5	20	20	20	20	1600									
84	长蛇谷的风光	江湖行	武学	轻功	跳上指定的建筑	跳上长安长蛇谷阳宝哥处		30	60%	5	1	60%	10	1	120%	5	1	100%	5	20	20	20	20	1600									
85	塔楼顶的大漠	江湖行	武学	轻功	跳上指定的建筑	跳上龙门荒漠客栈的塔楼顶		50	80%	5	1	60%	10	1	120%	5	1	120%	5	22	20	22	20	3000									
86	睥睨红衣	江湖行	武学	轻功	跳上指定的建筑	"南屏山阿里曼圣坛顶端"		60	100%	5	1	60%	10	1	120%	5	1	140%	5	24	25	24	25	4700									
87	高处不胜寒	江湖行	武学	轻功	跳上指定的建筑	跳上昆仑山昆仑玉虚峰望仙桥飞阁顶		60	100%	5	1	60%	10	1	120%	5	1	140%	5	24	25	24	25	4700									
88	"恶人谷的戾气"	江湖行	武学	轻功	跳上指定的建筑	跳上恶人谷的谷门顶		60	100%	5	1	60%	10	1	120%	5	1	140%	5	24	25	24	25	4700									
89	浩气盟的正气	江湖行	武学	轻功	跳上指定的建筑	跳上浩气盟		60	100%	5	1	60%	10	1	120%	5	1	140%	5	24	25	24	25	4700									
90	身轻如燕	江湖行	武学	轻功	跳上指定的建筑	跳上五门派、三野外场景的指定处		70	100%	5	10	80%	10	1	120%	5	1	140%	5	26	25	26	25	5800			称号后缀飞狐						
91	飞檐走壁	江湖行	武学	轻功	跳上指定的建筑	跳上指定的全部建筑		70	120%	5	15	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900			称号后缀无痕						
92	孤身一人	江湖行	武学	阵法	与一个好友阵法到第一重	与一个好友阵法到第一重		20	60%	5	1	60%	10	0	60%	5	1	100%	5	17	15	17	15	800									
93	朋友初识	江湖行	武学	阵法	与一个好友阵法到第二重	与一个好友阵法到第二重		30	60%	5	6	80%	10	1	100%	5	1	100%	5	21	20	21	20	1600									
94	日不久也生情	江湖行	武学	阵法	与一个好友阵法到第三重	与一个好友阵法到第三重		40	80%	5	15	100%	10	1	120%	5	1	120%	5	26	25	26	25	2800									
95	情深义重	江湖行	武学	阵法	与一个好友阵法到第四重	与一个好友阵法到第四重		50	80%	5	35	120%	10	1	120%	5	1	120%	5	28	30	28	30	4500									
96	朋友情深	江湖行	武学	阵法	与一个好友阵法到第五重	与一个好友阵法到第五重		60	100%	5	55	140%	10	1	140%	5	1	140%	5	33	35	33	35	6600									
97	江湖情谊	江湖行	武学	阵法	与五个好友阵法到第六重	与五个好友阵法到第六重		70	120%	5	140	180%	10	1	140%	5	1	160%	5	39	40	39	40	9200			称号后缀香帅						
98	义薄云天	江湖行	武学	阵法	与十个好友阵法到第七重	与十个好友阵法到第五重		70	120%	5	160+	200%	10	1	160%	5	1	140%	5	41	40	41	40	9200									
99	小周天	江湖行	经脉	修为	丹田容纳2000点修为	丹田容纳2000点修为		30	60%	5	80	140%	10	0	60%	5	1	100%	5	25	25	25	25	2000									
100	大周天	江湖行	经脉	修为	丹田容纳5000点修为	丹田容纳5000点修为		40	80%	5	200	200%	10	0	60%	5	1	120%	5	33	35	33	35	3900									
101	神功初成	江湖行	经脉	修为	丹田容纳10000点修为	丹田容纳10000点修为		50	80%	5	160+	200%	10	1	120%	5	1	120%	5	36	35	36	35	5200									
102	气聚丹田	江湖行	经脉	修为	丹田容纳20000点修为	丹田容纳20000点修为		60	100%	5	160+	200%	10	1	140%	5	1	140%	5	39	40	39	40	7500									
103	内息澎湃	江湖行	经脉	修为	丹田容纳50000点修为	丹田容纳50000点修为		70	120%	5	160+	200%	10	1	160%	5	1	140%	5	41	40	41	40	9200									
104	凌波微步	江湖行	经脉	修为	使用经脉传送	使用经脉传送		70	120%	5	160+	200%	15	1	120%	5	0	100%	5	47	45	47	45	10400									
105	懒惰成性	江湖行	经脉	修为	气海容纳达到4600	气海容纳达到4600		20	60%	5	5	60%	10	0	60%	5	0	60%	5	15	15	15	15	800									
106	无妄之灾	江湖行	经脉	冲穴	冲穴为失败	冲穴为失败		20	60%	5	5	60%	10	0	60%	5	0	60%	5	15	15	15	15	800									
107	资质平平	江湖行	经脉	冲穴	冲穴为累计失败10次	冲穴为累计失败10次		20	60%	5	35	120%	10	0	60%	5	0	60%	5	21	20	21	20	1000									
108	走火入魔	江湖行	经脉	冲穴	冲穴为被打断	冲穴为被打断		20	60%	5	5	60%	10	0	60%	5	0	60%	5	15	15	15	15	800									
109	通穴！任脉	江湖行	经脉	冲穴	开始点任脉	开始点任脉		20	60%	5	5	60%	10	0	60%	5	0	60%	5	15	15	15	15	800									
110	通穴！冲脉	江湖行	经脉	冲穴	开始点冲脉	开始点冲脉		20	60%	5	5	60%	10	0	60%	5	0	60%	5	15	15	15	15	800									
111	通穴！督脉	江湖行	经脉	冲穴	开始点督脉	开始点督脉		20	60%	5	5	60%	10	0	60%	5	0	60%	5	15	15	15	15	800									
112	通穴！带脉	江湖行	经脉	冲穴	开始点带脉	开始点带脉		20	60%	5	5	60%	10	0	60%	5	0	60%	5	15	15	15	15	800									
113	无碍！任脉	江湖行	经脉	冲穴	点满任脉	任脉全部点满		70	120%	5	160	180%	10	1	120%	5	0	100%	5	35	35	35	35	8100			称号前缀灵心						
114	无碍！冲脉	江湖行	经脉	冲穴	点满冲脉	冲脉全部点满		70	120%	5	160	180%	10	1	120%	5	0	100%	5	35	35	35	35	8100			称号前缀慧心						
115	无碍！督脉	江湖行	经脉	冲穴	点满督脉	督脉全部点满		70	120%	5	160	180%	10	1	120%	5	0	100%	5	35	35	35	35	8100			称号前缀慈心						
116	无碍！带脉	江湖行	经脉	冲穴	点满带脉	带脉全部点满		70	120%	5	160	180%	10	1	120%	5	0	100%	5	35	35	35	35	8100			称号前缀妙心						
117	畅通！龙玄	江湖行	经脉	冲穴	寰通穴位龙玄第十重	——		70	120%	5	160	180%	10	1	120%	5	1	160%	5	38	40	38	40	9200									
118	畅通！晴中	江湖行	经脉	冲穴	寰通穴位晴中第十重	——		70	120%	5	160	180%	10	1	120%	5	1	160%	5	38	40	38	40	9200									
119	畅通！抬肩	江湖行	经脉	冲穴	寰通穴位抬肩第十重	——		70	120%	5	160	180%	10	1	120%	5	1	160%	5	38	40	38	40	9200									
120	畅通！极泉	江湖行	经脉	冲穴	寰通穴位极泉第十重	——		70	120%	5	160	180%	10	1	120%	5	1	160%	5	38	40	38	40	9200									
121	畅通！崇骨	江湖行	经脉	冲穴	寰通穴位崇骨第十重	——		70	120%	5	160	180%	10	1	120%	5	1	160%	5	38	40	38	40	9200									
122	畅通！下极俞	江湖行	经脉	冲穴	寰通穴位下极俞第十重	——		70	120%	5	160	180%	10	1	120%	5	1	160%	5	38	40	38	40	9200									
123	畅通！曲泉	江湖行	经脉	冲穴	寰通穴位曲泉第十重	——		70	120%	5	160	180%	10	1	120%	5	1	160%	5	38	40	38	40	9200									
124	畅通！腰眼	江湖行	经脉	冲穴	寰通穴位腰眼第十重	——		70	120%	5	160	180%	10	1	120%	5	1	160%	5	38	40	38	40	9200									
125	畅通！合阳	江湖行	经脉	冲穴	寰通穴位合阳第十重	——		70	120%	5	160	180%	10	1	120%	5	1	160%	5	38	40	38	40	9200									
126	畅通！气端	江湖行	经脉	冲穴	寰通穴位气端第十重	——		70	120%	5	160	180%	10	1	120%	5	1	160%	5	38	40	38	40	9200									
127	震古烁今	江湖行	经脉	冲穴	寰通穴位十个到第十重	——		70	120%	5	160+	200%	15	1	120%	5	1	160%	5	50	50	50	50	11500			特殊性称号武学奇才						
128	好人	江湖行	经脉	传功	使用一次传功技能	——		70	120%	5	1	60%	10	1	120%	5	0	100%	5	23	25	23	25	5800									
129	乐善好施	江湖行	经脉	传功	使用十次传功技能	——		70	120%	5	80	140%	10	1	120%	5	0	100%	5	31	30	31	30	6900									
130	桃李满天下	江湖行	经脉	传功	使用一百次传功技能	——		70	120%	5	160+	200%	10	1	120%	5	0	100%	5	37	35	37	35	8100									
131	肆无忌惮	江湖行	装备	装备	全身装备精良	全身装备都为蓝色装备		50	80%	5	5	60%	10	1	80%	5	1	80%	5	18	20	18	20	3000									
132	横行江湖	江湖行	装备	装备	全身装备极品	全身装备都为紫装装备		70	120%	5	10	80%	10	1	120%	5	1	140%	5	27	25	27	25	5800									
133	曜武！天策	江湖行	装备	装备	天策第一套门派装备齐全	"获得曜武胄、曜武铠、曜武护手、曜武护带、曜武甲、曜武靴"		17	60%	5	3	60%	10	0	80%	5	1	60%	5	16	15	16	15	600									
134	天保！天策	江湖行	装备	装备	天策第二套门派装备齐全	获得天保胄、天保铠、天保护手、天保护带、天保甲、天保靴		30	60%	5	5	60%	10	0	80%	5	1	60%	5	16	15	16	15	1200									
135	半夏！万花	江湖行	装备	装备	万花第一套门派装备齐全	获得半夏帽、半夏衣、半夏护腕、半夏腰带、半夏长裤、半夏鞋		17	60%	5	3	60%	10	0	80%	5	1	60%	5	16	15	16	15	600									
136	赤箭！万花	江湖行	装备	装备	万花第二套门派装备齐全	获得赤箭帽、赤箭衫、赤箭护臂、赤箭腰带、赤箭裤、赤箭靴		30	60%	5	5	60%	10	0	80%	5	0	60%	5	16	15	16	15	1200									
137	轻罗！七秀	江湖行	装备	装备	七秀第一套门派装备齐全	"获得轻罗钗、轻罗衫、轻罗护腕、轻罗丝带、轻罗裙、轻罗绣鞋"		17	60%	5	3	60%	10	0	80%	5	0	60%	5	16	15	16	15	600									
138	文君！七秀	江湖行	装备	装备	七秀第二套门派装备齐全	"获得文君钗、文君罗衫、文君护腕、文君绣带、文君裙、文君绣鞋"		30	60%	5	5	60%	10	0	80%	5	0	60%	5	16	15	16	15	1200									
139	皈依！少林	江湖行	装备	装备	少林第一套门派装备齐全	"获得皈依华冠、皈依上衫、皈依护手、皈依束腰、皈依长裤、皈依僧履"		17	60%	5	3	60%	10	0	80%	5	0	60%	5	16	15	16	15	600									
140	不醒！少林	江湖行	装备	装备	少林第二套门派装备齐全	"获得不醒法冠、不醒长衫、不醒护手、不醒束腰、不醒长裤、不醒僧履"		30	60%	5	5	60%	10	0	80%	5	0	60%	5	16	15	16	15	1200									
141	金虚！纯阳	江湖行	装备	装备	纯阳第一套门派装备（剑宗/气宗）	"获得金虚问道巾、金虚问道袍、金虚问道护手、金虚问道玉带、金虚问道裤、金虚问道鞋；获得清虚修真冠、清虚修真袍、清虚修真护手、清虚修真玉带、清虚修真鞋"		17	60%	5	3	60%	10	0	80%	5	0	60%	5	16	15	16	15	600									
142	归元！纯阳	江湖行	装备	装备	纯阳第二套门派装备（剑宗）	"获得归元巾、归元衫、归元护手、归元束腰、归元裤、归元履；"		30	60%	5	5	60%	10	0	80%	5	0	60%	5	16	15	16	15	1200									
143	归真！纯阳	江湖行	装备	装备	纯阳第二套门派装备（气宗）	"获得归真冠、归真袍、归真护手、归真束腰、归真裤、归真靴；"		30	60%	5	5	60%	10	0	80%	5	0	60%	5	16	15	16	15	1200									
144	天策将士	江湖行	装备	装备	天策两套门派装备齐全	天策两套门派装备齐全		30	60%	5	8	80%	10	0	80%	5	0	60%	5	18	20	18	20	1600									
145	万花弟子	江湖行	装备	装备	万花两套门派装备齐全	万花两套门派装备齐全		30	60%	5	8	80%	10	0	80%	5	0	60%	5	18	20	18	20	1600									
146	七秀弟子	江湖行	装备	装备	七秀两套门派装备齐全	七秀两套门派装备齐全		30	60%	5	8	80%	10	0	80%	5	0	60%	5	18	20	18	20	1600									
147	少林弟子	江湖行	装备	装备	少林两套门派装备齐全	少林两套门派装备齐全		30	60%	5	8	80%	10	0	80%	5	0	60%	5	18	20	18	20	1600									
148	纯阳弟子	江湖行	装备	装备	纯阳两套门派装备齐全	纯阳两套门派装备齐全		30	60%	5	8	80%	10	0	80%	5	0	60%	5	18	20	18	20	1600									
149	知遇！浩气盟	江湖行	装备	装备	获得一套浩气盟装备	获得一套浩气盟装备		70	120%	5	3	60%	10	0	80%	5	0	60%	5	19	20	19	20	4600									
150	知遇！恶人谷	江湖行	装备	装备	获得一套恶人谷装备	获得一套恶人谷装备		70	120%	5	3	60%	10	0	80%	5	0	60%	5	19	20	19	20	4600									
151	小有名气	江湖行	装备	称号	获得20个称号	获得的称号数量有20个		50	80%	5	50	120%	10	0	80%	5	0	80%	5	24	25	24	25	3700									
152	声名显赫	江湖行	装备	称号	获得50个称号	获得的称号数量有50个		70	120%	5	150	180%	10	1	120%	5	0	100%	5	35	35	35	35	8100									
153	爱美之心	江湖行	装备	造型	理发1次	理发1次		50	80%	5	1	60%	10	1	120%	5	0	60%	5	19	20	19	20	3000									
154	楚楚动人	江湖行	装备	造型	理发20次	理发20次		50	80%	5	1	60%	10	1	120%	5	0	80%	5	20	20	20	20	3000									
155	风度翩翩	江湖行	装备	造型	理发50次	理发50次		70	120%	5	3	60%	10	1	120%	5	0	100%	5	23	25	23	25	5800									
156	华衣丽服	江湖行	装备	造型	获得外装5套	获得外装5套		70	120%	5	10	80%	10	1	120%	5	0	100%	5	25	25	25	25	5800									
157	丽服华衣	江湖行	装备	造型	获得外装10套	获得外装10套		70	120%	5	30	100%	10	1	120%	5	1	140%	5	29	30	29	30	6900									
158	华衣！天策	江湖行	装备	造型	天策门派外装齐全	天策门派外装齐全		70	120%	5	40	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
159	华衣！万花	江湖行	装备	造型	万花门派外装齐全	万花门派外装齐全		70	120%	5	40	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
160	华衣！七秀	江湖行	装备	造型	七秀门派外装齐全	七秀门派外装齐全		70	120%	5	40	120%	10	0	80%	5	0	100%	5	27	25	27	25	5800									
