Name	Kind	Camp	Series	Treasure	Treasure1	HeadImageSet	HeadImage	ClientOnly	CorpseIdx	RedLum	GreenLum	BlueLum	NpcResType	ArmorType	HelmType	WeaponType	CuffType	BootType	ShoulderType	HorseType	RideHorse	StandFrame	StandFrame1	DeathFrame	WalkFrame	RunFrame	HurtFrame	Skill1	Skill2	Skill3	Skill4	Skill5	ActionScript	ActionTime	BreakTime	LevelScript	ExpParam	SkillExp	LifeParam	LifeReplenish	ARParam	DefenseParam	MinMeleeDamage	MaxMeleeDamage	MinRangeDamage	MaxRangeDamage	MinFireDamage	MaxFireDamage	MinColdDamage	MaxColdDamage	MinWindDamage	MaxWindDamage	MinLightingDamage	MaxLightingDamage	MinBlackDamage	MaxBlackDamage	MinPoisonDamage	MaxPoisonDamage	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	VisionRadius	HitRecover	ActiveRadius	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	AIParam8	AIParam9	MeleeResist	RangeResist	FireResist	ColdResist	WindResist	LightResist	BlackResist	PoisonResist	ReviveFrame	Stature	DropRateFile	DropRateFile1	DropRateFile2	DropRateFile3	AIMaxTime	BarrierW	BarrierH	DeathScript	NpcColor	ReviveBuff	DeathBuff	GUID	LifeBarType	ShowLifePercent	NameColor	Blood			
¾ÅÀèÔÓ»õÉÌ	3	6	0	1	1	NpcFace	duyi		14				passerby035	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
ÃØµÀÎ×Ê¦	3	6	0	1	1	NpcFace	yunxiao		14				passerby049	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	140					20	1	1	\script\main.lua	0	3857									
¶¼ÞÄ	3	6	0	1	1	NpcFace	duyi		14				passerby016	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	125					20	1	1	\script\main.lua	0	3857									
·çÉ½	3	6	0	1	1	NpcFace	huangtianlin		14				passerby018	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	130					20	1	1	\script\main.lua	0	3857									
¹ÈÆÅÆÅ	3	6	0	1	1	NpcFace	huanling		14				passerby033	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	90					20	1	1	\script\main.lua	0	3857									
²ÊÔÆÍ¯×Ó	3	6	0	1	1	NpcFace	baihetongzi		14				passerby004	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	95					20	1	1	\script\main.lua	0	3857									
Ö£Ô½	3	6	0	1	1	NpcFace	yinjiao		14				passerby010	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
ÎÚÑÏ	3	6	0	1	1	NpcFace	songyiren		14				passerby051	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
æäÊ¹	3	6	0	1	1	NpcFace	qiongxiao		14				passerby014	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	110					20	1	1	\script\main.lua	0	3857									
¼ÒÆÍ	3	6	0	1	1	NpcFace	duyi		14				passerby035	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
ÊÌÅ®	3	6	0	1	1	NpcFace	yuling		14				passerby039	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
¾üÐè¹Ù	3	6	0	1	1	NpcFace	chaogeneitingshiwei		14				passerby072	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	110					20	1	1	\script\main.lua	0	3857									
Ð»ÅÈ[ÎäÆ÷ÉÌ]	3	6	0	1	1	NpcFace	chaogeneitingshiwei		14				passerby031	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	125					20	1	1	\script\main.lua	0	3857									
³ÂÉÐÁÖ[·À¾ßÉÌ]	3	6	0	1	1	NpcFace	duyi		14				passerby035	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
×óÁ¢Ö®[Ê×ÊÎÉÌ]	3	6	0	1	1	NpcFace	huangtianlin		14				passerby012	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
ÐÄÑÅ[Ò©ÉÌ]	3	6	0	1	1	NpcFace	yuling		14				passerby059	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
³¯¸èÔÓ»õÉÌ	3	6	0	1	1	NpcFace	yinhong		14				passerby064	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
Á¶Æ÷Ê¦¸µ	3	6	0	1	1	NpcFace	huangfeihu		14				passerby037	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
Í¨ÓÃ²»ÏÔÊ¾NPC	3	6	0	1	1	NpcFace	yuling		14				passerby059	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
ÔªÊ¼Ìì×ð	3	6	0	1	1	NpcFace	huanggun		14				passerby069	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,3,0,10	100,6,0,10	100,1,0,0	100,3,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	140					20	1	1	\script\main.lua	0	3857									
ÄÏ¼«ÏÉÎÌ	3	6	0	1	1	NpcFace	huanggun		14				passerby034	0	0	0	0	0	0	0	0	28	19	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,14,0,10	100,11,0,10	100,7,0,0	100,12,0,0															3	3	20	20	300	50	1500	4	40	40	30	20	10	0	0	50	50			10|0	10|0	0|0	40|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
Áé±¦´ó·¨Ê¦	3	6	0	1	1	NpcFace	shanrong		14				passerby029	0	0	0	0	0	0	0	0	28	12	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,14,0,10	100,11,0,10	100,7,0,0	100,12,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			0|0	40|0	10|0	10|0	10|0	0|0	180	130					20	1	1	\script\main.lua	0	3857									
Óñ¶¦ÕæÈË	3	6	0	1	1	NpcFace	yunzhongzi		14				passerby013	0	0	0	0	0	0	0	0	28	21	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,14,0,10	100,11,0,10	100,6,0,0	100,11,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
Ì«ÒÒÕæÈË	3	6	0	1	1	NpcFace	bigan		14				passerby060	0	0	0	0	0	0	0	0	28	13	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,14,0,10	100,11,0,10	100,6,0,0	100,11,0,0															3	3	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			10|0	10|0	40|0	0|0	10|0	0|0	180	120					20	1	1	\script\main.lua	0	3857									
³à¾«×Ó	3	6	0	1	1	NpcFace	yunzhongzi		14				passerby043	0	0	0	0	0	0	0	0	28	13	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,24,0,10	100,19,0,10	100,18,0,0	100,26,0,0															4	4	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			15|0	15|0	15|0	15|0	15|0	0|0	540	115					20	1	1	\script\main.lua	0	3857									
¶È¶òÕæÈË	3	6	0	1	1	NpcFace	yuxugongguanzhu		14				passerby061	0	0	0	0	0	0	0	0	28	13	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,24,0,10	100,19,0,10	100,18,0,0	100,26,0,0															4	4	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			15|0	15|0	15|0	15|0	15|0	0|0	540	120					20	1	1	\script\main.lua	0	3857									
È¼µÆµÀÈË	3	6	0	1	1	NpcFace	wuyan		14				passerby021	0	0	0	0	0	0	0	0	28	13	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,24,0,10	100,19,0,10	100,18,0,0	100,26,0,0															4	4	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	50			15|0	15|0	15|0	15|0	15|0	0|0	540	120					20	1	1	\script\main.lua	0	3857									
½ðÁéÊ¥Ä¸	3	6	0	1	1	NpcFace	bixiao		14				passerby030	0	0	0	0	0	0	0	0	28	11	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,24,0,10	100,19,0,10	100,18,0,0	100,26,0,0															4	4	20	20	300	50	1500	4	60	40	30	20	10	0	0	50	10			15|0	15|0	15|0	15|0	15|0	0|0	540	120					20	1	1	\script\main.lua	0	3857									
»ÆÌìÂ»	3	6	0	1	1	NpcFace	yuxugongguanzhu		14				passerby061	0	0	0	0	0	0	0	0	28	38	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,129,0,10	100,69,0,10	100,107,0,0	100,118,0,0															6	6	15	15	300	50	1500	1	60	40	30	20	10	0	0	50	50			30|0	30|0	50|0	10|0	30|0	0|0	1080	120					20	1	1	\script\main.lua	0	3857									
Â½ÐþÒÒ	3	6	0	1	1	NpcFace	wuyan		14				passerby021	0	0	0	0	0	0	0	0	28	38	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,141,0,10	100,75,0,10	100,125,0,0	100,137,0,0															7	7	15	15	300	50	1500	1	60	40	30	20	10	0	0	50	50			35|0	35|0	35|0	35|0	35|0	0|0	1080	120					20	1	1	\script\main.lua	0	3857									
´Èº½µÀÈË	3	6	0	1	1	NpcFace	qiongxiao		14				passerby014	0	0	0	0	0	0	0	0	28	38	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,150,0,10	100,82,0,10	100,133,0,0	100,146,0,0															7	7	15	15	300	50	1500	1	60	40	30	20	10	0	0	50	50			50|0	20|0	35|0	35|0	35|0	0|0	1080	110					20	1	1	\script\main.lua	0	3857									
ÄÏ¹¬ÊÊ	3	6	0	1	1	NpcFace	shanrong		14				passerby002	0	0	0	0	0	0	0	0	28	38	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,150,0,10	100,82,0,10	100,133,0,0	100,146,0,0															5	5	15	15	300	50	1500	1	60	40	30	20	10	0	0	50	50			35|0	35|0	20|0	60|0	35|0	0|0	1080	120					20	1	1	\script\main.lua	0	3857									
É¢ÒËÉú	3	6	0	1	1	NpcFace	yinjiao		14				passerby005	0	0	0	0	0	0	0	0	28	38	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,129,0,10	100,69,0,10	100,107,0,0	100,118,0,0															4	4	15	15	300	50	1500	1	60	40	30	20	10	0	0	50	50			10|0	50|0	30|0	30|0	30|0	0|0	1080	115					20	1	1	\script\main.lua	0	3857									
¼§·¢	3	6	0	1	1	NpcFace	lihan		14				passerby058	0	0	0	0	0	0	0	0	28	38	12	15	11	20						\script\main.lua			\script\npclevelscript\npclevelscript.lua	100,0,0,0	100,0,0,0	100,0,0,1000000	0|0	100,129,0,10	100,69,0,10	100,107,0,0	100,118,0,0															6	6	15	15	300	50	1500	1	60	40	30	20	10	0	0	50	50			50|0	10|0	30|0	30|0	30|0	0|0	1080	130					20	1	1	\script\main.lua	0	3857									
