名称	道具种类	具体类别	详细类别	最小类别	对应物件索引	说明文字	动画文件	二级动画文件	品质	档次	爻装	爻装附加概率	价格	系统收购价格	负重	叠加	耐久	套装ID	脚本名	buff目标	Buff1	Buff2	Buff3	SkillID	SkillTarget	Group	CDTime	ActionTime	Log	换装部件	等级需求	职业需求	系需求	灵需求	力需求	体需求	术需求	物攻需求	魔攻需求	是否可修理	是否可以丢弃	ItemBUFF是否直接生效	是否可以交换	是否可拆爻	是否可升级	法宝蕴魂上限	法宝技能BUFF	是否可以出售	是否会死亡掉落	是否唯一	拿起音效	放下音效	使用音效	蕴魂	掉落npcid	显示类型
子母刀	0	0	10	1	319	此刀有两刃，除主刀外，护手处亦有一刃，军队高级斥侯专用，便于任务刺杀。	weapon1	dd4	1	1	0	0	1870	1120	34	0	8000		1	-1|-1|-1|-1|-1|-1|-1	6009									3	30	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
赤铜刀	0	0	11	1	319	三山关总兵邓九公惯用兵器，此刀为精炼赤烧铜打造而成，奇特的是，完成后刀身仍红似火烧，因此得名赤铜。	weapon1	dd5	1	1	0	0	2580	1520	41	0	9000		1	-1|-1|-1|-1|-1|-1|-1	6010									3	40	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
游龙刀	0	0	12	1	319	天界之兵刃，佩戴如游龙盘绕腰间，常被瑶池门人用于斩妖伏魔。	weapon1	dd6	1	2	0	0	4340	1920	49	0	10000		1	-1|-1|-1|-1|-1|-1|-1	6011									4	50	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
如烟刀	0	0	13	1	319	渑池总兵张奎随身之物，刀身常年笼罩有一层薄烟，舞动时迷幻难测，因而得名如烟。	weapon1	dd7	1	2	0	0	5410	2320	64	0	11000		1	-1|-1|-1|-1|-1|-1|-1	6012									4	60	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
化血刀	0	0	14	1	319	蓬莱岛余化之物，此刀之奇，有诗为证“丹炉曾煅炼，灵气后先妙，透甲元神丧，沾身性命无”。	weapon1	dd8	1	2	0	0	6520	2720	98	0	12000		1	-1|-1|-1|-1|-1|-1|-1	6013									5	70	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
赤帝刀	0	0	15	1	319	炎帝与黄帝中原争雄所用之兵器，刀刃之上有紫色光芒，相传为上古玄晶铸化。	weapon1	dd9	1	2	0	0	7110	3120	120	0	13000		1	-1|-1|-1|-1|-1|-1|-1	6014									5	80	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
玄天神刀	0	0	16	1	319	九天玄女赠与黄帝的三件神兵之一，虽不如斩蚩尤之轩辕剑的名气，但也威力却毫不逊色。	weapon1	dd10	1	3	0	0	9710	3520	131	0	14000		1	-1|-1|-1|-1|-1|-1|-1	6015									6	90	1.0.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
冷月战刀	0	0	17	1	319	华夏总兵柏鉴曾用宝刀，后建立玄风骑，将其复制若干，授予弟子，成为玄风骑必备之刃。	weapon1	dd3	2	1	0	0	600	690	8	0	6100	1	1	-1|-1|-1|-1|-1|-1|-1	6016									2		1.0.0.0.0.0		4	16384					1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
六合战刀	0	0	18	1	319	辕黄帝取东方之宝，制成宝刀赠与玄风骑，取名“六合”。为玄风神兵“天下”五宝之一。	weapon1	dd5	2	2	0	0	2190	2090	34	0	8100	2	1	-1|-1|-1|-1|-1|-1|-1	6017									3		1.0.0.0.0.0		22	55296					1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
天择宝刀	0	0	19	1	319	玄风骑统帅方有资格使用的装备，意为“天选之人”。	weapon1	dd7	2	2	0	0	7250	3490	53	0	10100	3	1	-1|-1|-1|-1|-1|-1|-1	6018									4		1.0.0.0.0.0		53	94208					1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
御人宝刀	0	0	20	1	319	“统帅之初品，可得人和之援”，唯此境界之名帅可以得其神展其威。	weapon1	dd11	2	3	0	0	8200	4890	101	0	12100	4	1	-1|-1|-1|-1|-1|-1|-1	6019									5		1.0.0.0.0.0		122	187392					1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
御地宝刀	0	0	21	1	319	“统帅之中品，可以腾挪地势”，唯此境界之名帅可以得其神展其威。	weapon1	dd12	2	3	0	0	15540	6220	131	0	14000	5	1	-1|-1|-1|-1|-1|-1|-1	6020									6		1.0.0.0.0.0		250	362496					1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
御天宝刀	0	0	22	1	319	“统帅之上品，可以御驾天时”，唯此境界之名帅可以得其神展其威。	weapon1	dd13	2	3	0	0	20360	6920	143	0	15000	6	1	-1|-1|-1|-1|-1|-1|-1	6021									6		1.0.0.0.0.0		315	436224					1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
蟠龙宝刀	0	0	23	1	319	此刀乃武王姬发所用战刀，周身玄铁打造，浑然一体，刀面镀金，上有龙形纹饰，甚为精美。	weapon1	dd14	3	3	0	0	27990	9920	143	0	15000	7	1	-1|-1|-1|-1|-1|-1|-1	6022									7		1.0.0.0.0.0		326	455680					1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
黄铜枪	0	0	24	2	320	这种长枪使用硬木为杆，以黄铜为料制成枪头，枪头锐利，能用于实战。	weapon1	cd2	0	1	0	0	40	20	8	0	6000		1	-1|-1|-1|-1|-1|-1|-1	6046									32	10	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
红樱长槊	0	0	25	2	320	战场之上，一寸长则一寸强，这种长槊便应时而生，后成为军中必备的武器。	weapon1	cd3	0	1	0	0	240	120	19	0	7000		1	-1|-1|-1|-1|-1|-1|-1	6047									32	20	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
玄月枪	0	0	26	2	320	月之缺时，为玄，变换莫测之意。此戟便是取其意而制，立于夜空之时，如玄月当空。	weapon1	cd4	0	1	0	0	440	220	34	0	8000		1	-1|-1|-1|-1|-1|-1|-1	6048									33	30	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
点钢枪	0	0	27	2	320	有奇匠发现玄铁之坚，取玄铁之精华而铸之刃，谓之为钢，此枪便是取钢而制，名之点钢。	weapon1	cd5	0	1	0	0	640	320	41	0	9000		1	-1|-1|-1|-1|-1|-1|-1	6049									33	40	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
方天画戟	0	0	28	2	320	此兵刃不同凡物，枪头如月相联，舞动时仿若指天画地，其威摄人。广成子曾用兵器。	weapon1	cd6	0	2	0	0	840	420	49	0	10000		1	-1|-1|-1|-1|-1|-1|-1	6050									34	50	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
蟠龙枪	0	0	29	2	320	此枪长约七尺，其利断金，传说三十六竿蟠龙枪，七十二年炉中炼，各海龙宫太子均有此枪。	weapon1	cd7	0	2	0	0	1040	520	64	0	11000		1	-1|-1|-1|-1|-1|-1|-1	6051									34	60	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
蛇头枪	0	0	30	2	320	特制异型兵刃，与常不同，枪头如毒蛇吐信，可刺可绕，灵活轻便，军队低级将领善用。	weapon1	cd3	1	1	0	0	860	720	19	0	7000		1	-1|-1|-1|-1|-1|-1|-1	6052									32	20	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
钩镰枪	0	0	31	2	320	此枪极为少见，枪头带钩，攻击时可以钩拽敌人，因使用困难，只有少数高级将领擅长。	weapon1	cd4	1	1	0	0	1870	1120	34	0	8000		1	-1|-1|-1|-1|-1|-1|-1	6053									33	30	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
凤鸣枪	0	0	32	2	320	商朝著名的宝戟，锋利之外，此戟尚有一奇，但凡有风之时，此戟便会呜呜作响。	weapon1	cd5	1	1	0	0	2580	1520	41	0	9000		1	-1|-1|-1|-1|-1|-1|-1	6054									33	40	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
银蟒枪	0	0	33	2	320	武成王黄飞虎枪法精通，而此银蟒枪便是其惯使武器，舞时似银波流动，枪出如银蟒出穴。	weapon1	cd6	1	2	0	0	4340	1920	49	0	10000		1	-1|-1|-1|-1|-1|-1|-1	6055									34	50	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
紫焰火尖枪	0	0	34	2	320	哪吒化为莲花身之后，太乙真人所赐，有诗赞到“手提紫焰蛇牙宝，脚踏金霞风火轮”。	weapon1	cd7	1	2	0	0	5410	2320	64	0	11000		1	-1|-1|-1|-1|-1|-1|-1	6056									34	60	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
金霞三尖枪	0	0	35	2	320	此刀柄长5尺，刀有三尖，异与常理，杨戬惯持兵器，玉泉山金霞洞玉鼎真人所赐。	weapon1	cd8	1	2	0	0	6520	2720	98	0	12000		1	-1|-1|-1|-1|-1|-1|-1	6057									35	70	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
逐日枪	0	0	36	2	320	相传为巨人夸父的宝戟，此戟有一奇，凡烈日当空，此戟即会折射出耀眼光芒使敌难辨所在。	weapon1	cd9	1	2	0	0	7110	3120	120	0	13000		1	-1|-1|-1|-1|-1|-1|-1	6058									35	80	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
刑天戟	0	0	37	2	320	战神刑天善用斧戟，与黄帝大战时即用此兵，持之则跨越生死，可永生神力。	weapon1	cd10	1	3	0	0	9710	3520	131	0	14000		1	-1|-1|-1|-1|-1|-1|-1	6059									36	90	0.1.0.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
怒焰战枪	0	0	38	2	320	传说为炎帝以红莲真火淬制而成的宝枪，赠与少年刑天。后人依古卷仿制而成。	weapon1	cd3	2	1	0	0	600	690	8	0	6100	8	1	-1|-1|-1|-1|-1|-1|-1	6060									32		0.1.0.0.0.0			16384	19				1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
烈风战枪	0	0	39	2	320	刑天战法分五步：烈、迅、破、魔、魂。后人以刑天战法为引，倾注战神之意制成烈风枪。	weapon1	cd5	2	2	0	0	2190	2090	34	0	8100	9	1	-1|-1|-1|-1|-1|-1|-1	6061									33		0.1.0.0.0.0			55296	61				1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
地竞战戟	0	0	40	2	320	刑天骑将领帅方有资格使用的装备，意为：“人定胜天”。	weapon1	cd7	2	2	0	0	7250	3490	53	0	10100	10	1	-1|-1|-1|-1|-1|-1|-1	6062									34		0.1.0.0.0.0			96256	113				1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
惊天战戟	0	0	41	2	320	“激发战气震动穹庐，谓之惊天”，战力达此级方可装备。	weapon1	cd11	2	3	0	0	8200	4890	101	0	12100	11	1	-1|-1|-1|-1|-1|-1|-1	6063									35		0.1.0.0.0.0			188416	219				1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
平天战戟	0	0	42	2	320	“战甲顷力啸冲九天，谓之平天”，战力达此级方可装备。	weapon1	cd12	2	3	0	0	15540	6220	131	0	14000	12	1	-1|-1|-1|-1|-1|-1|-1	6064									36		0.1.0.0.0.0			362496	390				1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
灭天战戟	0	0	43	2	320	“毁天灭地感阴动阳，谓之灭天”，战力到极顶方可装备。	weapon1	cd13	2	3	0	0	20360	6920	143	0	15000	13	1	-1|-1|-1|-1|-1|-1|-1	6065									36		0.1.0.0.0.0			436224	463				1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
刑天神枪	0	0	44	2	320	战神刑天因无敌天下，据传此枪为其成名前所用，得之可获战神之力。	weapon1	cd14	3	3	0	0	27990	9920	143	0	15000	14	1	-1|-1|-1|-1|-1|-1|-1	6066									37		0.1.0.0.0.0			455680	478				1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
木剑	0	0	45	3	321	普通木制长剑。	weapon1	fj1	0	1	0	0	2	1	1	0	5100		1	-1|-1|-1|-1|-1|-1|-1	6090									1	1	0.0.1.1.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
法剑	0	0	46	3	321	道士施法常用之剑。	weapon1	fj1	0	1	0	0	10	5	1	0	5500		1	-1|-1|-1|-1|-1|-1|-1	6091									1	5	0.0.1.1.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
青竹剑	0	0	47	3	321	山间青竹制成的普通法剑。	weapon1	fj2	0	1	0	0	40	20	3	0	6000		1	-1|-1|-1|-1|-1|-1|-1	6092									2	10	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
桃木剑	0	0	48	3	321	桃木所制法剑，有驱邪效果。	weapon1	fj3	0	1	0	0	240	120	6	0	7000		1	-1|-1|-1|-1|-1|-1|-1	6093									2	20	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
镔铁剑	0	0	49	3	321	以精铁打造而成，加持符咒道法。	weapon1	fj4	0	1	0	0	440	220	11	0	8000		1	-1|-1|-1|-1|-1|-1|-1	6094									3	30	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
古定剑	0	0	50	3	321	古代名剑，传言对道法修行极有帮助。	weapon1	fj5	0	1	0	0	640	320	14	0	9000		1	-1|-1|-1|-1|-1|-1|-1	6095									3	40	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
飞虹剑	0	0	51	3	321	高级法剑，剑身有飞虹纹理，挥舞间有红霞闪现。	weapon1	fj6	0	2	0	0	840	420	16	0	10000		1	-1|-1|-1|-1|-1|-1|-1	6096									4	50	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
含光剑	0	0	52	3	321	殷商名剑，商君赐予李家，遂成李家象征，后入李靖手中	weapon1	fj7	0	2	0	0	1040	520	21	0	11000		1	-1|-1|-1|-1|-1|-1|-1	6097									4	60	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
雕花剑	0	0	53	3	321	精致的桃木法剑，有更强的驱邪效果。	weapon1	fj3	1	1	0	0	860	720	6	0	7000		1	-1|-1|-1|-1|-1|-1|-1	6098									2	20	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
青云剑	0	0	54	3	321	常用法剑，剑身有青云纹理，挥舞间如青云拂过。	weapon1	fj4	1	1	0	0	1870	1120	11	0	8000		1	-1|-1|-1|-1|-1|-1|-1	6099									3	30	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
龙形剑	0	0	55	3	321	剑身蟠龙游走，以天龙正气斩妖除魔。	weapon1	fj5	1	1	0	0	2580	1520	14	0	9000		1	-1|-1|-1|-1|-1|-1|-1	6100									3	40	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
沉碧剑	0	0	56	3	321	古剑沉碧，传言整剑用全玉磨制而成，凝碧其中，可将道法融会贯通。	weapon1	fj6	1	2	0	0	4340	1920	16	0	10000		1	-1|-1|-1|-1|-1|-1|-1	6101									4	50	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
白光剑	0	0	57	3	321	瑶池名剑，龙吉公主所持之剑，即为白光。	weapon1	fj7	1	2	0	0	5410	2320	21	0	11000		1	-1|-1|-1|-1|-1|-1|-1	6102									4	60	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
灭焰剑	0	0	58	3	321	普陀山落伽洞慈航道人所制，剑身上刻画各类灵符，以破狱度亡、驱邪镇魔。	weapon1	fj8	1	2	0	0	6520	2720	33	0	12000		1	-1|-1|-1|-1|-1|-1|-1	6103									5	70	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
云水剑	0	0	59	3	321	云中子所制，取“心似白云常自在，意如流水任东西”之意。	weapon1	fj9	1	2	0	0	7110	3120	40	0	13000		1	-1|-1|-1|-1|-1|-1|-1	6104									5	80	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
紫阳剑	0	0	60	3	321	青峰山紫阳洞道德真君所制，可震慑不正之神及阴邪之气。	weapon1	fj10	1	3	0	0	9710	3520	44	0	14000		1	-1|-1|-1|-1|-1|-1|-1	6105									6	90	0.0.1.0.0.0								1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
清风法剑	0	0	61	3	321	取意清风明月，原始天尊为阐教入室真人所制之法剑。	weapon1	fj3	2	1	0	0	600	690	3	0	6100	15	1	-1|-1|-1|-1|-1|-1|-1	6106									2		0.0.1.0.0.0		4			13312			1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
火雷法剑	0	0	62	3	321	雷霆者，天地枢机！阐教真人以五雷正法：火雷之力妙制而成。	weapon1	fj5	2	2	0	0	2190	2090	11	0	8100	16	1	-1|-1|-1|-1|-1|-1|-1	6107									3		0.0.1.0.0.0		18			50176			1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
天机法剑	0	0	63	3	321	修行高深，窥得天机之人，方可以使用此装备。	weapon1	fj7	2	2	0	0	7250	3490	18	0	10100	17	1	-1|-1|-1|-1|-1|-1|-1	6108									4		0.0.1.0.0.0		43			81920			1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
太清法剑	0	0	64	3	321	“人道升仙境，称为大赤天太清境”，只有修道达此境界之人才能使用此剑。	weapon1	fj11	2	3	0	0	8200	4890	34	0	12100	18	1	-1|-1|-1|-1|-1|-1|-1	6109									5		0.0.1.0.0.0		118			163840			1	1	0	1	0	1			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
