名称	道具种类	具体类别	详细类别	最小类别	对应物件索引	说明文字	动画文件	二级动画文件	品质	档次	爻装	爻装附加概率	价格	系统收购价格	负重	叠加	耐久	套装ID	脚本名	buff目标	Buff1	Buff2	Buff3	SkillID	SkillTarget	Group	CDTime	ActionTime	Log	换装部件	等级需求	职业需求	系需求	灵需求	力需求	体需求	术需求	物攻需求	魔攻需求	是否可修理	是否可以丢弃	ItemBUFF是否直接生效	是否可以交换	是否可拆爻	是否可升级	法宝蕴魂上限	法宝技能BUFF	是否可以出售	是否会死亡掉落	是否唯一	拿起音效	放下音效	使用音效	蕴魂	掉落npcid	显示类型
小刚的美味话梅	1	24	0	0	336	“吃颗话梅，变成梅子超人。”	potion1	cs2	0				1	1	1	100			1	-1|-1|-1|-1|-1|-1|-1	441										0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
万里云烟	1	25	0	0	336	“疾行千里，转瞬云烟”，使用后返回重生点所在地，冷却时间1小时。	potion1	cs4	0				0	0	1	-1			1	-1|-1|-1|-1|-1|-1|-1	3862					957	3600	2			0	1.1.1.1.1.1								0	0	0	0	0	0			0	0	1	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
照妖镜	1	26	0	0	336	慈航道人所有，肉死人，活万物，法力通玄，有夺造化之功。	questkey1	rw20	0				1	1	1	1			1	-1|-1|-1|-1|-1|-1|-1	773							2			0	1.1.1.1.1.1								0	1	0	0	0	0			1	0	1	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
叛军军服	1	27	0	0	336	一件叛军军服。	questkey1	rw64	0				1	1	1	1			1	-1|-1|-1|-1|-1|-1|-1	663							2			0	1.1.1.1.1.1								0	1	0	0	0	0			1	0	1	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
祭镇剑	1	28	0	0	336	宣战	cticon	ct1	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	1301							2			0	1.1.1.1.1.1								0	1	0	0	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
蟠桃树种	1	29	0	0	336	种植蟠桃树的种子	cticon	ctrw1	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	1452							2			0	1.1.1.1.1.1								0	1	0	0	0	0			0	0	1	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
土地符	1	30	0	0	336	召唤土地公公的符咒	questkey1	rw14	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	1458							2			0	1.1.1.1.1.1								0	1	0	0	0	0			0	0	1	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
离火小妖变身符	1	31	0	0	336	内封离火小妖精魄，使用后改变自身外形。	questkey1	rw91	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	547							2			0	1.1.1.1.1.1								0	1	0	1	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
山艮小妖变身符	1	32	0	0	336	内封山艮小妖精魄，使用后改变自身外形。	questkey1	rw91	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	546							2			0	1.1.1.1.1.1								0	1	0	1	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
风巽小妖变身符	1	33	0	0	336	内封风巽小妖精魄，使用后改变自身外形。	questkey1	rw91	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	545							2			0	1.1.1.1.1.1								0	1	0	1	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
北海守卫变身符	1	34	0	0	336	使用后可变身为北海守卫的模样。	questkey1	rw91	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	544							2			0	1.1.1.1.1.1								0	1	0	1	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
南越卫兵变身符	1	35	0	0	336	使用后可变身为南越卫兵的模样。	questkey1	rw91	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	543							2			0	1.1.1.1.1.1								0	1	0	1	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
九黎守卫变身符	1	36	0	0	336	使用后可变身为九黎守卫的模样。	questkey1	rw91	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	542							2			0	1.1.1.1.1.1								0	1	0	1	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
王庭侍卫变身符	1	37	0	0	336	使用后可变身为王庭守卫的模样。	questkey1	rw91	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	541							2			0	1.1.1.1.1.1								0	1	0	1	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
轩辕战魂变身符	1	38	0	0	336	使用后可变身为轩辕战魂的模样。	questkey1	rw24	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	540							2			0	1.1.1.1.1.1								0	1	0	1	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
占用	1	39	0	0	336	“天地通幽”，使用后可短时与分星池对话，并宣战。	questkey1	rw66	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1								2			0	1.1.1.1.1.1								0	1	0	0	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
半熟果	1	40	0	0	336	未成熟的蟠桃。食用后可对周围氏族成员产生不同的影响。	cticon	ctrw4	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	1461							2			0	1.1.1.1.1.1								0	1	0	0	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
聚财叶	1	41	0	0	336	蟠桃树叶，使用后可为周围氏族成员带来意外的财富。	cticon	ctrw6	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	1466							2			0	1.1.1.1.1.1								0	1	0	0	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
蕴魂枝	1	42	0	0	336	蟠桃树枝，使用后可为周围氏族成员带来大量的蕴魂。	cticon	ctrw5	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	1472							2			0	1.1.1.1.1.1								0	1	0	0	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
蟠桃花	1	43	0	0	336	蟠桃花朵，使用后将散落大量花瓣在氏族成员手中。	cticon	ctrw7	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	1474							2			0	1.1.1.1.1.1								0	1	0	0	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
封妖根	1	44	0	0	336	蟠桃树为世间仙树，妖物常藏匿于其根茎中意欲直达天庭。使用后将放出妖物！	cticon	ctrw9	0				0	0	1	1			1	-1|-1|-1|-1|-1|-1|-1	1476							2			0	1.1.1.1.1.1								0	1	0	0	0	0			0	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
供品符	1	45	0	0	336	祭祀用符咒，可以瞬间摆放出供品台。	questkey1	rw14	0				2000	1000	1	1			1	-1|-1|-1|-1|-1|-1|-1	1480							2			0	1.1.1.1.1.1								0	1	0	1	0	0			1	1	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
螳螂的树叶	1	46	0	0	336	使用方法：脱光了贴在身上，别人就看不到你了	potion1	rw74	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2001										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
布雷斯塔警长的武裝·豹之魂	1	47	0	0	336	方便，还能叠加，我一直用它	potion1	cs2	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2002										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
布雷斯塔警长的武裝·熊之魂	1	48	0	0	336	方便，还能叠加，我一直用它	potion1	cs2	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2003										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
血狼召唤卷轴	1	49	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2004										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
北海神莺召唤卷轴	1	50	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2005										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
叛军蛮卒召唤卷轴	1	51	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2006										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
叛军伍长召唤卷轴	1	52	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2007										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
山贼召唤卷轴	1	53	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2008										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
耳鼠召唤卷轴	1	54	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2009										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
雪狐召唤卷轴	1	55	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2010										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
雪狼召唤卷轴	1	56	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2011										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
巨石力士召唤卷轴	1	57	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2012										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
雪妖召唤卷轴	1	58	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2013										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
野猪召唤卷轴	1	59	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2014										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
狂鸟召唤卷轴	1	60	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2015										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
苔妖召唤卷轴	1	61	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2016										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
老虎召唤卷轴	1	62	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2017										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
灵蛇召唤卷轴	1	63	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2018										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
石魔召唤卷轴	1	64	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2019										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
碧海寒蛟召唤卷轴	1	65	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2020										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
火鸦召唤卷轴	1	66	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2021										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
菌人召唤卷轴	1	67	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2022										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
寒爪狼召唤卷轴	1	68	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2023										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
犬戎刀兵召唤卷轴	1	69	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2024										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
幽海隐龙召唤卷轴	1	70	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2025										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
犬戎弓兵召唤卷轴	1	71	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2026										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
犬戎力士召唤卷轴	1	72	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2027										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
吊睛虎召唤卷轴	1	73	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2028										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
玄狐召唤卷轴	1	74	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2029										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
噬血狼怪召唤卷轴	1	75	0	0	336	召唤一只兰怪	questkey1	rw66	0				0	0	0	100			1	-1|-1|-1|-1|-1|-1|-1	2030										0	1.1.1.1.1.1								0	1	0	1	0	0			1	0	0	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi	set:TaharezLook sd:PickWuqi		0	0
